"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude","id_grid"
6184,"Cenargen","CEN","94717","Paepalanthus_comans",NA,"C. O. Andrino",-18.570277,-43.594444,708
6185,"Cenargen","CEN","94720","Paepalanthus_aequalis",NA,"C. O. Andrino",-20.271944,-43.96,827
6191,"Cenargen","CEN","93178","Paepalanthus_elongatulus",NA,"M. L. O. Trovó",-20.2,-46.466666,823
6192,"Cenargen","CEN","93176","Paepalanthus_planifolius",NA,"M. L. O. Trovó",-20.2,-46.466666,823
6256,"JBRJ","RB","RB01346846","Paepalanthus_pedunculatus",NA,"C. O. Andrino",-17.891667,-43.806389,668
6257,"JBRJ","RB","RB01346851","Paepalanthus_comans",NA,"C. O. Andrino",-17.891667,-43.806389,668
6258,"JBRJ","RB","RB01346830","Paepalanthus_distichophyllus",NA,"C. O. Andrino",-17.891667,-43.806389,668
6265,"JBRJ","RB","RB01343521","Paepalanthus_harleyi",NA,"A. M. Giulietti",-13.533333,-41.95,391
6268,"JBRJ","RB","RB01343501","Paepalanthus_erectifolius",NA,"M. L. O. Trovó",-16.988055,-43.345,589
6270,"JBRJ","RB","RB01343491","Paepalanthus_harleyi",NA,"H. N. Moldenke",-13.55,-41.95,391
6278,"JBRJ","RB","RB01343523","Paepalanthus_harleyi",NA,"A. M. Giulietti",-13.516667,-42,391
6279,"JBRJ","RB","RB01343514","Paepalanthus_almasensis",NA,"A. M. Giulietti",-13.533333,-41.9,391
6280,"JBRJ","RB","RB01343479","Paepalanthus_polytrichoides",NA,"M. L. O. Trovó",-14.076111,-47.510278,382
6312,"JBRJ","RB","RB01337439","Paepalanthus_argenteus",NA,"M. L. O. Trovó",-18.199167,-43.567778,668
6314,"Universidade Federal de Juiz de Fora","CESJ","69254","Paepalanthus_viridulus",NA,"L. Echternacht",-21.678056,-43.8825,908
6316,"UEFS","HUEFS","231205","Paepalanthus_gardnerianus",NA,"C. O. Andrino",-18.130833,-43.371667,668
6318,"JBRJ","RB","RB01334664","Paepalanthus_eriophaeus",NA,"M. L. O. Trovó",-18.214167,-43.586944,668
6346,"USP","SPF","216581","Paepalanthus_microphyllus",NA,"C. O. Andrino",-19.265633,-43.555533,748
6350,"JBRJ","RB","RB01319233","Paepalanthus_macrocephalus",NA,"M. L. O. Trovó",-18.532778,-43.896944,708
6353,"JBRJ","RB","RB01313909","Paepalanthus_scholiophyllus",NA,"M. L. O. Trovó",-20.253611,-46.404722,823
6367,"JBRJ","RB","RB01307085","Paepalanthus_gyrotrichus",NA,"M. L. O. Trovó",-18.305556,-43.556667,708
6373,"US","Botany","2854276","Paepalanthus_obtusifolius",NA,"C. O. Andrino",-13,-41.4,352
6456,"US","Botany","2854253","Paepalanthus_pulvinatus",NA,"C. O. Andrino",-13,-41.4,352
6472,"US","Botany","2791569","Paepalanthus_pulvinatus",NA,"C. O. Andrino",-13.03,-41.42,352
6544,"US","Botany","3222153","Paepalanthus_chiquitensis",NA,"C. O. Andrino",-15.55,-47.52,502
6575,"US","Botany","2936308","Paepalanthus_succisus",NA,"C. O. Andrino",-13.55,-41.95,391
6661,"US","Botany","2771330","Paepalanthus_macrocaulon",NA,"C. O. Andrino",-13.53,-41.92,391
6675,"US","Botany","2936317","Paepalanthus_macrocaulon",NA,"C. O. Andrino",-13.55,-41.95,391
6676,"US","Botany","3222129","Paepalanthus_chiquitensis",NA,"C. O. Andrino",-15.62,-48.15,501
6695,"US","Botany","3222152","Paepalanthus_chiquitensis",NA,"C. O. Andrino",-15.55,-47.52,502
6702,"US","Botany","2120211","Paepalanthus_erectifolius",NA,"C. O. Andrino",-19.17,-43.58,748
6770,"US","Botany","3239703","Paepalanthus_chiquitensis",NA,"C. O. Andrino",-16,-48,541
6830,"US","Botany","2120212","Paepalanthus_erectifolius",NA,"C. O. Andrino",-19.17,-43.58,748
6960,"UEFS","HUEFS","227090","Paepalanthus_macrocaulon",NA,"C. O. Andrino",-13.521944,-41.950278,391
6977,"JBRJ","RB","RB01219105","Paepalanthus_macrocephalus",NA,"C. O. Andrino",-17.96,-43.788333,668
6984,"CAS","BOT-BC","3798","Paepalanthus_revolutus",NA,"N. Hensold",-18.841667,-43.661111,708
6985,"CAS","BOT-BC","3797","Paepalanthus_mollis_var._itambeensis","itambeensis","N. Hensold",-18.394444,-43.347222,709
6987,"CAS","BOT-BC","3794","Paepalanthus_parviflorus","parviflorus","N. Hensold",-19.244444,-43.544444,748
7008,"JBRJ","RB","RB00992999","Paepalanthus_pulvinatus",NA,"M. L. O. Trovó",-13.1275,-41.822222,351
7009,"JBRJ","RB","RB00982493","Paepalanthus_erectifolius",NA,"L. Echternacht",-19.1075,-43.672222,748
7012,"JBRJ","RB","RB00982467","Paepalanthus_bromelioides",NA,"L. Echternacht",-19.249722,-43.523333,748
7014,"JBRJ","RB","RB00982478","Paepalanthus_eriophaeus",NA,"L. Echternacht",-18.270278,-43.636667,668
7043,"JBRJ","RB","RB00910521","Paepalanthus_superbus_var._gracilis","gracilis","N. Hensold",-18.897222,-43.747222,748
7050,"JBRJ","RB","RB00909826","Paepalanthus_superbus_var._niveoniger","niveoniger","N. Hensold",-18.822222,-43.783333,708
7062,"JBRJ","RB","RB00908172","Paepalanthus_planifolius",NA,"M. L. O. Trovó",-18.432222,-43.466667,708
7064,"JBRJ","RB","RB00908171","Paepalanthus_macrocephalus",NA,"C. O. Andrino",-18.431389,-43.476944,708
7068,"JBRJ","RB","RB00907834","Paepalanthus_dianthoides",NA,"N. Hensold",-19.85,-43.5,788
7070,"JBRJ","RB","RB00907633","Paepalanthus_dianthoides",NA,"N. Hensold",-20.066667,-43.5,788
7074,"JBRJ","RB","RB00907610","Paepalanthus_dianthoides",NA,"N. Hensold",-20.066667,-43.5,788
7076,"JBRJ","RB","RB00907435","Paepalanthus_dianthoides",NA,"N. Hensold",-19.85,-43.5,788
7077,"JBRJ","RB","RB00895364","Paepalanthus_gyrotrichus",NA,"M. L. O. Trovó",-18.4325,-43.475,708
7081,"JBRJ","RB","RB00875625","Paepalanthus_manicatus",NA,"M. L. O. Trovó",-16.359444,-42.880278,549
7094,"JBRJ","RB","RB00864295","Paepalanthus_elongatulus",NA,"M. L. O. Trovó",-20.102778,-43.989722,827
7104,"JBRJ","RB","RB00842470","Paepalanthus_argenteus",NA,"M. L. O. Trovó",-18.159167,-43.543889,668
7105,"JBRJ","RB","RB00842468","Paepalanthus_comans",NA,"M. L. O. Trovó",-18.159167,-43.543889,668
