"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude"
7369,"JBRJ","RB","RB00600383","Paepalanthus chlorocephalus",NA,"C. O. Andrino",-19.18924536,-43.64555156
7374,"JBRJ","RB","RB00600311","Paepalanthus canescens",NA,"F. N. Costa",-17.99283125,-43.61023331
7376,"JBRJ","RB","RB00600297","Paepalanthus regalis",NA,"M. L. O. Trovó",-16.46407905,-42.99374881
7386,"JBRJ","RB","RB00600252","Paepalanthus oxyphyllus",NA,"H. N. Moldenke",-14.18302262,-47.53516279
7397,"JBRJ","RB","RB00600309","Paepalanthus sphaerocephalus",NA,"M. L. O. Trovó",-17.99283125,-43.61023331
7405,"JBRJ","RB","RB00600280","Paepalanthus planifolius var. globulifer",NA,"M. L. O. Trovó",-19.18924536,-43.64555156
7407,"JBRJ","RB","RB00600258","Paepalanthus paulinus",NA,"N. Hensold",-19.18924536,-43.64555156
7409,"JBRJ","RB","RB00600263","Paepalanthus villosulus",NA,"H. M. L. Tissot-Squalli",-17.99283125,-43.61023331
7418,"JBRJ","RB","RB00600208","Paepalanthus tortilis",NA,"A. M. Giulietti",-13.83820632,-41.38536527
7425,"JBRJ","RB","RB00600119","Paepalanthus scleranthus",NA,"A. M. Giulietti",-16.46407905,-42.99374881
7434,"JBRJ","RB","RB00600117","Paepalanthus scleranthus",NA,"N. Hensold",-17.99283125,-43.61023331
7436,"JBRJ","RB","RB00600003","Paepalanthus pedunculatus",NA,"N. Hensold",-19.43725545,-44.25412553
7439,"JBRJ","RB","RB00600047","Paepalanthus chiquitensis",NA,"M. L. O. Trovó",-14.49860503,-48.40170407
7445,"JBRJ","RB","RB00600035","Paepalanthus ruficeps",NA,"N. Hensold",-17.99283125,-43.61023331
7451,"JBRJ","RB","RB00600006","Paepalanthus pedunculatus",NA,"N. Hensold",-19.43725545,-44.25412553
7459,"JBRJ","RB","RB00600025","Paepalanthus senaeanus",NA,"A. M. Giulietti",-19.43725545,-44.25412553
7462,"JBRJ","RB","RB00600004","Paepalanthus ruficeps",NA,"M. L. O. Trovó",-17.99283125,-43.61023331
