"id","scientific.name","accepted.name","family","taxon.rank","taxon.status","search.str","threat.status","notes","original.search","life.form","habitat","vegetation.type","domain"
18191,"Calliandra feioana Renvoize",NA,"Fabaceae","species","accepted","Calliandra feioana",NA,"replaced synonym","Calliandra feioanum","Arbusto","Terrícola","Cerrado (lato sensu)","Caatinga"
18192,"Calliandra fernandesii Barneby",NA,"Fabaceae","species","accepted","Calliandra fernandesii",NA,"","Calliandra fernandesii","Arbusto","Terrícola","Carrasco|Cerrado (lato sensu)","Caatinga"
30945,"Calliandra foliolosa Benth.",NA,"Fabaceae","species","accepted","Calliandra foliolosa",NA,"","Calliandra foliolosa","Arbusto|Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual","Cerrado|Mata Atlântica"
30945,"Calliandra foliolosa Benth.",NA,"Fabaceae","species","accepted","Calliandra foliolosa",NA,"was misspelled","Calliandra foliosa","Arbusto|Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual","Cerrado|Mata Atlântica"
18193,"Calliandra fuscipila Harms",NA,"Fabaceae","species","accepted","Calliandra fuscipila",NA,"","Calliandra fuscipila","Arbusto","Terrícola","Campo rupestre","Caatinga"
18194,"Calliandra ganevii Barneby",NA,"Fabaceae","species","accepted","Calliandra ganevii",NA,"","Calliandra ganevii","Subarbusto","Terrícola","Campo rupestre","Caatinga"
30948,"Calliandra gardneri Benth.",NA,"Fabaceae","species","accepted","Calliandra gardneri","EN","","Calliandra gardneri","Subarbusto","Terrícola","Cerrado (lato sensu)","Cerrado"
111165,"Calliandra geraisensis E.R.Souza & L.P.Queiroz",NA,"Fabaceae","species","accepted","Calliandra geraisensis",NA,"","Calliandra geraisensis","Arbusto","Terrícola","Campo Limpo|Cerrado (lato sensu)","Caatinga"
18195,"Calliandra germana Barneby",NA,"Fabaceae","species","accepted","Calliandra germana",NA,"","Calliandra germana","Arbusto","Terrícola","Campo rupestre","Caatinga"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Calliandra glaziovii",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Calliandra haematocephala",NA,NA,NA,NA
18197,"Calliandra harrisii (Lindl.) Benth.",NA,"Fabaceae","species","accepted","Calliandra harrisii",NA,"","Calliandra harrisii","Arbusto","Terrícola","Caatinga (stricto sensu)|Campo de Altitude|Carrasco|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Restinga","Caatinga|Cerrado|Mata Atlântica"
18198,"Calliandra hirsuticaulis Harms",NA,"Fabaceae","species","accepted","Calliandra hirsuticaulis",NA,"","Calliandra hirsuticaulis","Arbusto|Subarbusto","Terrícola","Campo rupestre","Caatinga"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Calliandra hirtiflora hirtiflora",NA,NA,NA,NA
18199,"Calliandra hirtiflora Benth.",NA,"Fabaceae","species","accepted","Calliandra hirtiflora",NA,"","Calliandra hirtiflora",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Calliandra hirtiflora ripicola",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Calliandra hirtiflora rupicola",NA,NA,NA,NA
18201,"Calliandra hirtiflora var. ripicola Barneby",NA,"Fabaceae","variety","accepted","Calliandra hirtiflora var. ripicola",NA,"","Calliandra hirtiflora var. ripicola","Arbusto","Terrícola","Floresta Ciliar ou Galeria","Caatinga"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Calliandra houstoniana calothyrsus",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Calliandra houstoniana",NA,NA,NA,NA
18202,"Calliandra hygrophila Mackinder & G.P.Lewis",NA,"Fabaceae","species","accepted","Calliandra hygrophila",NA,"","Calliandra hygrophila","Arbusto","Terrícola","Campo rupestre|Floresta Ciliar ou Galeria","Caatinga"
25639,"Calliandra iligna Barneby",NA,"Fabaceae","species","accepted","Calliandra iligna",NA,"","Calliandra iligna","Subarbusto","Terrícola","Campo rupestre","Caatinga"
111167,"Calliandra imbricata E.R.Souza & L.P.Queiroz",NA,"Fabaceae","species","accepted","Calliandra imbricata","DD","","Calliandra imbricata","Arbusto","Terrícola","Campo Limpo","Caatinga"
18203,"Calliandra imperialis Barneby",NA,"Fabaceae","species","accepted","Calliandra imperialis",NA,"","Calliandra imperialis","Arbusto","Terrícola","Caatinga (stricto sensu)","Caatinga"
18204,"Calliandra involuta Mackinder & G.P.Lewis",NA,"Fabaceae","species","accepted","Calliandra involuta",NA,"","Calliandra involuta","Arbusto","Terrícola","Campo rupestre","Caatinga"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Calliandra jacobiana",NA,NA,NA,NA
82716,"Calliandra jariensis Barneby",NA,"Fabaceae","species","accepted","Calliandra jariensis",NA,"","Calliandra jariensis","Árvore","Terrícola","Floresta de Terra Firme","Amazônia"
18205,"Calliandra lanata Benth.",NA,"Fabaceae","species","accepted","Calliandra lanata",NA,"","Calliandra lanata","Arbusto","Terrícola","Campo rupestre","Caatinga"
82717,"Calliandra laxa (Willd.) Benth.",NA,"Fabaceae","species","accepted","Calliandra laxa",NA,"","Calliandra laxa",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Calliandra laxa stipulacea",NA,NA,NA,NA
18206,"Calliandra leptopoda Benth.",NA,"Fabaceae","species","accepted","Calliandra leptopoda",NA,"","Calliandra leptopoda","Arbusto|Subarbusto","Terrícola","Caatinga (stricto sensu)","Caatinga"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Calliandra lewisii",NA,NA,NA,NA
30960,"Calliandra linearis Benth.",NA,"Fabaceae","species","accepted","Calliandra linearis","VU","","Calliandra linearis","Subarbusto","Terrícola","Campo rupestre","Cerrado"
18207,"Calliandra lintea Barneby",NA,"Fabaceae","species","accepted","Calliandra lintea",NA,"","Calliandra lintea","Arbusto","Terrícola","Campo rupestre","Caatinga"
30961,"Calliandra longipes Benth.",NA,"Fabaceae","species","accepted","Calliandra longipes",NA,"","Calliandra longipes","Subarbusto","Terrícola","Campo Limpo|Cerrado (lato sensu)","Cerrado"
18208,"Calliandra longipinna Benth.",NA,"Fabaceae","species","accepted","Calliandra longipinna",NA,"","Calliandra longipinna","Subarbusto","Terrícola","Campo Limpo|Campo rupestre|Cerrado (lato sensu)","Caatinga"
18209,"Calliandra luetzelburgii Harms",NA,"Fabaceae","species","accepted","Calliandra luetzelburgii",NA,"","Calliandra luetzelburgii","Arbusto","Terrícola","Campo rupestre","Caatinga"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Calliandra macrocalyx aucta",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Calliandra macrocalyx macrocalyx",NA,NA,NA,NA
18210,"Calliandra macrocalyx Harms",NA,"Fabaceae","species","accepted","Calliandra macrocalyx",NA,"","Calliandra macrocalyx",NA,NA,NA,NA
30934,"Calliandra dysantha var. macrocephala (Benth.) Barneby",NA,"Fabaceae","variety","accepted","Calliandra dysantha var. macrocephala",NA,"replaced synonym","Calliandra macrocephala","Subarbusto","Terrícola","Campo Limpo|Campo rupestre|Cerrado (lato sensu)","Cerrado"
18216,"Calliandra parvifolia (Hook. & Arn.) Speg.",NA,"Fabaceae","species","accepted","Calliandra parvifolia",NA,"replaced synonym","Calliandra microphylla","Arbusto|Subarbusto","Terrícola","Campinarana|Campo rupestre|Carrasco|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)","Amazônia|Caatinga|Cerrado|Mata Atlântica|Pampa"
18213,"Calliandra mucugeana Renvoize",NA,"Fabaceae","species","accepted","Calliandra mucugeana",NA,"","Calliandra mucugeana","Arbusto","Terrícola","Campo rupestre","Caatinga"
