"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude"
1403,"NY","NY","00898448","Comanthera xeranthemoides",NA,"L. Echternacht",-15.52633,-47.6667
1407,"NY","NY","00898527","Comanthera aciphylla",NA,"L. Echternacht",-18.4417,-43.4861
1423,"NY","NY","00898432","Comanthera aurifibrata",NA,"L. Echternacht",-17.88,-44.25
1427,"NY","NY","00818448","Comanthera nitida",NA,"L. Echternacht",-18.011111,-44.328056
1434,"NY","NY","00898463","Comanthera xeranthemoides",NA,"L. Echternacht",-12.9,-51.87
1442,"NY","NY","00684936","Comanthera harleyi",NA,"L. Echternacht",-10.35,-41.22
1460,"NY","NY","00572017","Comanthera paepalophylla",NA,"L. Echternacht",-13.1555700155626,-41.7728657096051
1470,"NY","NY","00538326","Comanthera paepalophylla",NA,"L. Echternacht",-13.582879880292,-41.8114683539125
1480,"NY","NY","00571949","Comanthera giuliettiae",NA,"L. Echternacht",-13.32,-41.85
1489,"NY","NY","00103630","Comanthera curralensis","harleyi","H. N. Moldenke",-11.58,-41.2
1490,"NY","NY","00898453","Comanthera xeranthemoides",NA,"L. Echternacht",-11.28,-51.75
1498,"NY","NY","00571932","Comanthera paepalophylla",NA,"L. Echternacht",-13.3,-41.85
1508,"NY","NY","00898436","Comanthera vernonioides",NA,"L. Echternacht",-19.456,-43.531
1521,"NY","NY","00538352","Comanthera aciphylla",NA,"L. Echternacht",-16.5631441886376,-42.889540899897
1525,"NY","NY","00572019","Comanthera paepalophylla",NA,"L. Echternacht",-13.37,-41.85
1527,"NY","NY","00571929","Comanthera giuliettiae",NA,"L. Echternacht",-13.38,-41.85
1530,"NY","NY","00898284","Comanthera elegans",NA,"L. Echternacht",-18.2531772779915,-43.6004898201051
1537,"NY","NY","00898438","Comanthera nitida",NA,"L. Echternacht",-19.08056,-43.66389
1538,"NY","NY","00684426","Comanthera paepalophylla",NA,"L. Echternacht",-13.52,-41.93
1543,"NY","NY","01015743","Comanthera giuliettiae",NA,"L. Echternacht",-11.57,-41.12
1548,"NY","NY","00898365","Comanthera aciphylla",NA,"L. Echternacht",-19.17,-43.58
1551,"NY","NY","00898454","Comanthera xeranthemoides",NA,"L. Echternacht",-13.83,-58.92
1562,"NY","NY","00571737","Comanthera lanosa",NA,"L. Echternacht",-13.1555700155626,-41.7728657096051
1564,"NY","NY","00898283","Comanthera elegans",NA,"L. Echternacht",-18.0833,-43.7833
1565,"NY","NY","00898459","Comanthera xeranthemoides",NA,"L. Echternacht",-12.906389,-51.875
