taxa,suggested,corrected,obs
Comanthera nitida,Comanthera nitida,Comanthera nitida,
Comanthera nitidus,Comanthera nitida,Comanthera nitida,
Comanthera nivea,Comanthera nivea,Comanthera nivea,
Comanthera niveoaureus,NA,Comanthera nitida,Syngonanthus niveoaureus syn. of Comanthera nitida
Comanthera niveus,Comanthera nivea,Comanthera nivea,Syngonanthus niveus syn. of Comanthera nivea
Comanthera niveus rosulatus,NA,Comanthera nivea,Syngonanthus niveus var. rosulatus syn. of Comanthera nivea
Comanthera niveus strigosus,NA,Comanthera paepalophylla subsp. strigosa,Syngonanthus niveus strigosus syn. of Comanthera paepalophylla subsp. strigosa
Comanthera paepalophylla,Comanthera paepalophylla,Comanthera paepalophylla,
Comanthera paepalophylla paepalophylla,Comanthera paepalophylla subsp. paepalophylla,Comanthera paepalophylla subsp. paepalophylla,
Comanthera paepalophylla strigosa,Comanthera paepalophylla subsp. strigosa,Comanthera paepalophylla subsp. strigosa,
Comanthera paepalophyllus,Comanthera paepalophylla,Comanthera paepalophylla,Syngonanthus paepalophyllus syn. of Comanthera paepalophylla
Comanthera pauper,NA,Comanthera aciphylla,Syngonanthus pauper syn. of Comanthera aciphylla
Comanthera pignalii,Comanthera pignalii,Comanthera pignalii,
Comanthera prolifer,NA,Comanthera nivea,Syngonanthus prolifer syn. of Comanthera nivea
Comanthera pterophyllus,Comanthera paepalophylla,Comanthera aciphylla,Syngonanthus pterophyllus syn. of Comanthera aciphylla
Comanthera reflexa,Comanthera reflexa,Comanthera reflexa,
Comanthera reflexus,Comanthera reflexa,Comanthera reflexa,Syngonanthus reflexus syn. of Comanthera reflexa
Comanthera retroflexa,Comanthera retroflexa,Comanthera retroflexa,
Comanthera rufipes,NA,Comanthera cipoensis,Syngonanthus rufipes syn. of Comanthera cipoensis
Comanthera rupprechtiana,Comanthera ruprechtiana,Comanthera rupprechtiana,
Comanthera rupprechtianus,Comanthera ruprechtiana,Comanthera rupprechtiana,Syngonanthus rupprechtianus syn. of Comanthera rupprechtiana
Comanthera ruprechtiana,Comanthera ruprechtiana,Comanthera rupprechtiana,
Comanthera squarrosa,Comanthera squarrosa,Comanthera squarrosa,
Comanthera squarrosus,Comanthera squarrosa,Comanthera squarrosa,Syngonanthus squarrosus syn. of Comanthera squarrosa 
Comanthera suberosa,Comanthera suberosa,Comanthera suberosa,
Comanthera suberosus,Comanthera suberosa,Comanthera suberosa,Syngonanthus suberosus syn. of Comanthera suberosa
Comanthera ulei goyazensis,NA,Comanthera kegeliana,Syngonanthus ulei var. goyazensis syn. of Comanthera kegeliana
Comanthera ulei,Comanthera harleyi,Comanthera kegeliana,Syngonanthus ulei syn. of Comanthera kegeliana
Comanthera venustus,NA,Comanthera bisulcata,Syngonanthus venustus syn. of Comanthera bisulcata
Comanthera vernioides,Comanthera vernonioides,Comanthera vernonioides,
Comanthera vernonioides confusa,NA,Comanthera vernonioides var. confusa,
Comanthera vernonioides confusus,NA,Comanthera vernonioides var. confusa,Syngonanthus vernonioides var. confusus syn. of Comanthera vernonioides var. confusa
Comanthera vernonioides melanolepis,Comanthera vernonioides var. melanolepis,Comanthera vernonioides var. melanolepis,
Comanthera vernonioides minor,Comanthera vernonioides var. minor,Comanthera vernonioides var. minor,
Comanthera vernonioides,Comanthera vernonioides,Comanthera vernonioides,
Comanthera vernonioides var. confusa,Comanthera vernonioides var. minor,Comanthera vernonioides var. confusa,
Comanthera xeranthemoides confusus,NA,Comanthera vernonioides var. confusa,Syngonanthus xeranthemoides var. confusus syn. of  Comanthera vernonioides var. confusa
Comanthera xeranthemoides hirsutus,NA,Comanthera vernonioides var. confusa,Syngonanthus xeranthemoides var. hirsutus syn. of Comanthera vernonioides var. confusa
Comanthera xeranthemoides,Comanthera xeranthemoides,Comanthera xeranthemoides,
Comanthera xeranthemoides strigillosus,Comanthera xeranthemoides var. strigillosa,Comanthera xeranthemoides var. strigillosa,Syngonanthus xeranthemoides var. strigillosus syn. of Comanthera xeranthemoides var. strigillosa
Comanthera xeranthemoides xeranthemoides,Comanthera xeranthemoides var. xeranthemoides,Comanthera xeranthemoides var. xeranthemoides,
Syngonanthus acephalus,Syngonanthus aciphyllus,Syngonanthus acephalus,accepted name
Syngonanthus aciphyllus,Syngonanthus aciphyllus,Comanthera aciphylla,
Syngonanthus albopulvinatus,NA,Syngonanthus albopulvinatus,accepted name
Syngonanthus amapensis,Syngonanthus amapensis,Syngonanthus amapensis,
Syngonanthus androgynus,Syngonanthus androgynus,Syngonanthus androgynus,"sp. nov (Watanabe et al., 2015)"
Syngonanthus angustifolius,Syngonanthus angustifolius,Comanthera nivea,
Syngonanthus anomalus,Syngonanthus anomalus,Syngonanthus anomalus,
Syngonanthus anthemidiflorus anthemidiflorus,Syngonanthus anthemiflorus var. anthemidiflorus,Syngonanthus anthemidiflorus ,
Syngonanthus anthemidiflorus,Syngonanthus anthemiflorus,Syngonanthus anthemidiflorus,
Syngonanthus anthemidiflorus similis,Syngonanthus anthemiflorus var. similis,Syngonanthus anthemidiflorus var. similis,
Syngonanthus anthemidiflorus simils,Syngonanthus anthemiflorus var. similis,Syngonanthus anthemidiflorus var. similis,
Syngonanthus anthemidiflorus subglabrascens,Syngonanthus anthemiflorus var. subglabrescens,Syngonanthus anthemiflorus var. subglabrescens,
Syngonanthus anthemidiflorus var. anthemidiflorus,Syngonanthus anthemiflorus var. anthemidiflorus,Syngonanthus anthemidiflorus var. anthemidiflorus,
Syngonanthus anthemidiflorus var. simils,Syngonanthus anthemiflorus var. similis,Syngonanthus anthemidiflorus var. similis,
Syngonanthus anthemiflorus,Syngonanthus anthemiflorus,Syngonanthus anthemidiflorus,
Syngonanthus anthemiflorus similis,Syngonanthus anthemiflorus var. similis,Syngonanthus anthemidiflorus var. simils,
Syngonanthus anthemiflorus subglabrescens,Syngonanthus anthemiflorus var. subglabrescens,Syngonanthus anthemiflorus var. subglabrescens,
Syngonanthus appressus chapadensis,Syngonanthus appressus var. chapadensis,Syngonanthus appressus ,
Syngonanthus appressus,Syngonanthus appressus,Syngonanthus appressus,
Syngonanthus appresus,Syngonanthus appressus,Syngonanthus appressus,
Syngonanthus aquaticus caespitosus,Syngonanthus aquaticus var. caespitosus,Syngonanthus spongiosus,
Syngonanthus aquaticus,Syngonanthus aquaticus,Syngonanthus aquaticus,
Syngonanthus arenarius arenarius,Syngonanthus arenarius var. arenarius,Syngonanthus arenarius,
Syngonanthus arenarius heterophylla,Syngonanthus arenarius var. heterophyllus,Syngonanthus arenarius var. heterophyllus,
Syngonanthus arenarius heterophyllus,Syngonanthus arenarius var. heterophyllus,Syngonanthus arenarius var. heterophyllus,
Syngonanthus arenarius,Syngonanthus arenarius,Syngonanthus arenarius,
Syngonanthus arenarius var. heterophyllus,Syngonanthus arenarius var. heterophyllus,Syngonanthus arenarius var. heterophyllus,
Syngonanthus arthrotrichus,Syngonanthus arthrotrichus,Comanthera aciphylla,
Syngonanthus aurifibratus,Syngonanthus aurifibratus,Comanthera aurifibrata,
Syngonanthus auripes bahiensis,Syngonanthus auripes var. bahiensis,Syngonanthus auripes var. bahiensis,name with basionym (Tropicos)
Syngonanthus auripes,Syngonanthus auripes,Syngonanthus auripes,
Syngonanthus bahiensis,Syngonanthus bahiensis,Comanthera bahiensis,
Syngonanthus barbatus,Syngonanthus barbatus,Comanthera elegans,
Syngonanthus bellus,Syngonanthus bellus,Syngonanthus bellus,
Syngonanthus bicolor,Syngonanthus bicolor,Syngonanthus bicolor,
Syngonanthus biformis,Syngonanthus biformis,Syngonanthus biformis,
Syngonanthus bisulcata,Syngonanthus bisulcatus,Comanthera bisulcata,
Syngonanthus bisulcatus,Syngonanthus bisulcatus,Comanthera bisulcata,
Syngonanthus bisumbellatus,Syngonanthus bisumbellatus,Syngonanthus bisumbellatus,
Syngonanthus bracteosus,Syngonanthus bracteosus,Syngonanthus bracteosus,
Syngonanthus bracteosus scrupulosus,Syngonanthus bracteosus var. scrupulosus,Syngonanthus bracteosus,
Syngonanthus brasiliana,Syngonanthus brasiliana,Syngonanthus brasiliana,unresolved (The Plant List)
Syngonanthus brioides,Syngonanthus nitidus,Syngonanthus brioides,Paepalanthus bryoides?
Syngonanthus bulbifer,Syngonanthus bulbifer,Syngonanthus tenuis var. bulbifer,
Syngonanthus cabralensis,Syngonanthus cabralensis,Syngonanthus cabralensis,
Syngonanthus caespitosus,Syngonanthus caespitosus,Comanthera caespitosa,
Syngonanthus canaliculatus,Syngonanthus canaliculatus,Syngonanthus canaliculatus,
Syngonanthus canastrensis,Syngonanthus canastrensis,Comanthera dealbata,
Syngonanthus candidus bahiensis,Syngonanthus candidus var. bahiensis,Comanthera giuliettiae,
Syngonanthus candidus,Syngonanthus candidus,Comanthera nivea,
Syngonanthus capillaceus,Syngonanthus capillaceus,Syngonanthus capillaceus,
Syngonanthus caulescens angustifolius,Syngonanthus caulescens var. angustifolius,Syngonanthus caulescens,
Syngonanthus caulescens bellohorizontinus,Syngonanthus caulescens var. bellohorizontinus,Syngonanthus caulescens var. bellohorizontinus,
Syngonanthus caulescens douradensis,Syngonanthus caulescens var. douradensis,Syngonanthus caulescens,
Syngonanthus caulescens gardnerianus,Syngonanthus caulescens var. gardnerianus,Syngonanthus caulescens,
Syngonanthus caulescens hatschbachii,Syngonanthus caulescens var. hatschbachii,Syngonanthus caulescens var. hatschbachii,
Syngonanthus caulescens hirsutus,Syngonanthus caulescens var. hirsutus,Syngonanthus caulesces,
Syngonanthus caulescens longipes,NA,Syngonanthus caulescens,
Syngonanthus caulescens,Syngonanthus caulescens,Syngonanthus caulescens,
Syngonanthus caulescens procerus,Syngonanthus caulescens var. procerus,Syngonanthus caulescens,
Syngonanthus centauroides,Syngonanthus centauroides,Syngonanthus centauroides,
Syngonanthus chrysanthus,Syngonanthus chrysanthus,Syngonanthus chrysanthus,
Syngonanthus chrysolepis,Syngonanthus chrysolepis,Comanthera chrysolepis,
Syngonanthus cipoensis,Syngonanthus cipoensis,Comanthera cipoensis,
Syngonanthus circinnatus,Syngonanthus circinnatus,Comanthera circinnata,
Syngonanthus comosus harleyi,Syngonanthus comosus var. harleyi,Leiothrix hirsuta,
Syngonanthus comosus harleyii,Syngonanthus comosus var. harleyi,Leiothrix hirsuta,
Syngonanthus comosus,Syngonanthus comosus,Comanthera nivea,
Syngonanthus compactus,Syngonanthus compactus,Syngonanthus compactus,unresolved
Syngonanthus costatus,Syngonanthus costatus,Syngonanthus costatus,
Syngonanthus crispus,Syngonanthus crispus,Comanthera bisulcata,
Syngonanthus crispus var. itacambirensis,Syngonanthus crispus var. itacambirensis,Comanthera bisulcata,
Syngonanthus curralensis harleyi,Syngonanthus curralensis var. harleyi,Comanthera curralensis,
Syngonanthus curralensis,Syngonanthus curralensis,Comanthera curralensis,
Syngonanthus cuyabensis,Syngonanthus cuyabensis,Syngonanthus cuyabensis,
Syngonanthus davidsei,Syngonanthus davidsei,Syngonanthus davidsei,
Syngonanthus dealbatus,Syngonanthus dealbatus,Comanthera dealbata,
Syngonanthus dealbatus var. minor,Syngonanthus dealbatus var. minor,Comanthera dealbata,
Syngonanthus decorus,Syngonanthus decorus,Syngonanthus decorus,
Syngonanthus densiflorus brevipes,Syngonanthus densiflorus var. brevipes,Syngonanthus densiflorus,
Syngonanthus densiflorus glabrescens,Syngonanthus densiflorus var. glabrescens,Syngonanthus densiflorus,
Syngonanthus densiflorus glabrifolius,Syngonanthus densiflorus var. glabrifolius,Syngonanthus densiflorus,
Syngonanthus densiflorus longifolius,Syngonanthus densiflorus var. longifolius,Syngonanthus densiflorus var. longifolius,
Syngonanthus densiflorus majus,Syngonanthus densiflorus,Syngonanthus densifolius,
Syngonanthus densiflorus,Syngonanthus densiflorus,Syngonanthus densiflorus,
Syngonanthus densiflorus pilosior,Syngonanthus densifolius var. pilosior,Syngonanthus densifolius,
Syngonanthus densifolius brachyphyllus,Syngonanthus densifolius var. brachyphyllus,Syngonanthus densifolius,
Syngonanthus densifolius majus,Syngonanthus densifolius var. majus,Syngonanthus densifolius,
Syngonanthus densifolius,Syngonanthus densifolius,Syngonanthus densifolius,
Syngonanthus densifolius pilosior,Syngonanthus densifolius var. pilosior,Syngonanthus densifolius,
Syngonanthus densus,Syngonanthus densus,Syngonanthus densus,
Syngonanthus dichroanthus,Syngonanthus dichroanthus,Syngonanthus dichroanthus,
Syngonanthus eburneus,Syngonanthus eburneus,Comanthera imbricata,
Syngonanthus egleri pombosensis,Syngonanthus egleri var. pombosensis,Syngonanthus egleri ,
Syngonanthus elegans,Syngonanthus elegans,Comanthera elegans,
