"taxa","suggested"
"Syngonanthus aquaticus caespitosus","Syngonanthus aquaticus var. caespitosus"
"Syngonanthus aquaticus","Syngonanthus aquaticus"
"Syngonanthus arenarius arenarius","Syngonanthus arenarius var. arenarius"
"Syngonanthus arenarius heterophylla","Syngonanthus arenarius var. heterophyllus"
"Syngonanthus arenarius heterophyllus","Syngonanthus arenarius var. heterophyllus"
"Syngonanthus arenarius","Syngonanthus arenarius"
"Syngonanthus arenarius var. heterophyllus","Syngonanthus arenarius var. heterophyllus"
"Syngonanthus arthrotrichus","Syngonanthus arthrotrichus"
"Syngonanthus aurifibratus","Syngonanthus aurifibratus"
"Syngonanthus auripes bahiensis","Syngonanthus auripes var. bahiensis"
"Syngonanthus auripes","Syngonanthus auripes"
"Syngonanthus bahiensis","Syngonanthus bahiensis"
"Syngonanthus barbatus","Syngonanthus barbatus"
"Syngonanthus bellus","Syngonanthus bellus"
"Syngonanthus bicolor","Syngonanthus bicolor"
"Syngonanthus biformis","Syngonanthus biformis"
"Syngonanthus bisulcata","Syngonanthus bisulcatus"
"Syngonanthus bisulcatus","Syngonanthus bisulcatus"
"Syngonanthus bisumbellatus","Syngonanthus bisumbellatus"
"Syngonanthus bracteosus","Syngonanthus bracteosus"
"Syngonanthus bracteosus scrupulosus","Syngonanthus bracteosus var. scrupulosus"
"Syngonanthus brasiliana","Syngonanthus brasiliana"
"Syngonanthus brioides","Syngonanthus nitidus"
"Syngonanthus bulbifer","Syngonanthus bulbifer"
"Syngonanthus cabralensis","Syngonanthus cabralensis"
"Syngonanthus caespitosus","Syngonanthus caespitosus"
"Syngonanthus canaliculatus","Syngonanthus canaliculatus"
"Syngonanthus canastrensis","Syngonanthus canastrensis"
"Syngonanthus candidus bahiensis","Syngonanthus candidus var. bahiensis"
"Syngonanthus candidus","Syngonanthus candidus"
"Syngonanthus capillaceus","Syngonanthus capillaceus"
"Syngonanthus caulescens angustifolius","Syngonanthus caulescens var. angustifolius"
"Syngonanthus caulescens bellohorizontinus","Syngonanthus caulescens var. bellohorizontinus"
"Syngonanthus caulescens douradensis","Syngonanthus caulescens var. douradensis"
"Syngonanthus caulescens gardnerianus","Syngonanthus caulescens var. gardnerianus"
"Syngonanthus caulescens hatschbachii","Syngonanthus caulescens var. hatschbachii"
"Syngonanthus caulescens hirsutus","Syngonanthus caulescens var. hirsutus"
"Syngonanthus caulescens longipes",NA
"Syngonanthus caulescens","Syngonanthus caulescens"
"Syngonanthus caulescens procerus","Syngonanthus caulescens var. procerus"
"Syngonanthus centauroides","Syngonanthus centauroides"
"Syngonanthus chrysanthus","Syngonanthus chrysanthus"
"Syngonanthus chrysolepis","Syngonanthus chrysolepis"
"Syngonanthus cipoensis","Syngonanthus cipoensis"
"Syngonanthus circinnatus","Syngonanthus circinnatus"
"Syngonanthus comosus harleyi","Syngonanthus comosus var. harleyi"
"Syngonanthus comosus harleyii","Syngonanthus comosus var. harleyi"
