"grid_size","median","mean"
0.1,0.5,0.448681701645723
0.2,0.594117647058824,0.520270050765743
0.3,0.666666666666667,0.535634907625579
0.4,0.683333333333333,0.627469937802545
0.5,0.714285714285714,0.622040153991184
0.6,0.777777777777778,0.675507969270808
0.7,0.666666666666667,0.642253759218835
0.8,0.777777777777778,0.716785793258685
0.9,0.666666666666667,0.629104219196943
1,0.777777777777778,0.730860020273617
1.1,0.75,0.714295992726449
1.2,0.763888888888889,0.737811798423409
1.3,0.785714285714286,0.789841917759684
1.4,0.785714285714286,0.774259847899875
1.5,0.815934065934066,0.777106861519966
1.6,0.777777777777778,0.728522948147222
1.7,0.869565217391304,0.782212649486735
1.8,0.871794871794872,0.765699750989015
1.9,0.870967741935484,0.83487655094953
2,0.777777777777778,0.768520416815751
2.1,0.823529411764706,0.765995036211063
2.2,0.871477860839563,0.779782229138402
2.3,0.849502487562189,0.798096934194694
2.4,0.823529411764706,0.778294033321134
2.5,0.8828125,0.755163672172383
2.6,0.92,0.883440813645492
2.7,0.836734693877551,0.752980994824664
2.8,0.852941176470588,0.849705231327999
2.9,0.876923076923077,0.838502629206642
3,0.826923076923077,0.809246002727127
3.1,0.90088185333767,0.871601227714734
3.2,0.855313092979127,0.847699800208414
3.3,0.883058470764618,0.858796897410687
3.4,0.91304347826087,0.88824788335349
3.5,0.875356594250603,0.787475027745405
3.6,0.9,0.867877055191412
3.7,0.913031031718768,0.862178131678667
3.8,0.937956204379562,0.856859661279513
3.9,0.883076923076923,0.801970910784043
4,0.935361216730038,0.906908239926893
4.1,0.930393274437162,0.908541382177106
4.2,0.852941176470588,0.854654273768009
4.3,0.847058823529412,0.793010419308342
4.4,0.902879811930649,0.819497578452175
4.5,0.91452487244898,0.862699629177094
4.6,0.917196156813241,0.911021746164474
4.7,0.904822251481238,0.90975747184333
4.8,0.930612244897959,0.908282061812579
4.9,0.927966101694915,0.904567982826597
5,0.94704476772788,0.943046587540159
