id,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status,notes,original.search,life.form,habitat,vegetation.type,domain,corrected.name
17839,Trimezia caulosa Ravenna,NA,Iridaceae,species,accepted,Trimezia caulosa,NA,,Trimezia caulosa,Erva,Terrícola,Área Antrópica|Floresta Ombrófila (= Floresta Pluvial),Mata Atlântica,Trimezia caulosa
36420,Trimezia connata Ravenna,NA,Iridaceae,species,accepted,Trimezia connata,NA,,Trimezia connata,Erva,Terrícola,Área Antrópica|Floresta Ombrófila (= Floresta Pluvial),Mata Atlântica,Trimezia connata
36424,Trimezia exillima Ravenna,NA,Iridaceae,species,accepted,Trimezia exillima,EN,,Trimezia exillima,Erva,Terrícola,Campo rupestre|Cerrado (lato sensu),Cerrado,Trimezia exillima
NA,NA,NA,NA,NA,NA,NA,NA,not found,Trimezia fistulosa fistulosa,NA,NA,NA,NA,Pseudotrimezia fistulosa
NA,NA,NA,NA,NA,NA,NA,NA,not found,Trimezia fistulosa longifolia,NA,NA,NA,NA,Pseudotrimezia juncifolia
606776,Pseudotrimezia fistulosa (R.C.Foster) Lovo & A.Gil,NA,Iridaceae,species,accepted,Pseudotrimezia fistulosa,NA,replaced synonym,Trimezia fistulosa,Erva,Terrícola,Campo rupestre,Cerrado,Pseudotrimezia fistulosa
8079,Trimezia martinicensis (Jacq.) Herb.,NA,Iridaceae,species,accepted,Trimezia martinicensis,NA,replaced synonym,Trimezia galaxioides,Erva,Terrícola,Área Antrópica|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)|Restinga,Amazônia|Caatinga|Cerrado|Mata Atlântica,Trimezia martinicensis
8055,Neomarica glauca (Seub. ex Klatt) Sprague,NA,Iridaceae,species,accepted,Neomarica glauca,NT,replaced synonym,Trimezia glauca,Erva,Terrícola,Campo rupestre|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista,Cerrado|Mata Atlântica,Neomarica glauca
17841,Trimezia sincorana Ravenna,NA,Iridaceae,species,accepted,Trimezia sincorana,NA,replaced synonym,Trimezia itamarajuensis,Erva,Rupícola|Terrícola,Campo rupestre|Cerrado (lato sensu),Caatinga|Cerrado,Trimezia sincorana
NA,NA,NA,NA,NA,NA,NA,NA,not found,Trimezia juncifolia aurantiaca,NA,NA,NA,NA,Pseudotrimezia juncifolia
NA,NA,NA,NA,NA,NA,NA,NA,not found,Trimezia juncifolia cristallicola,NA,NA,NA,NA,Pseudotrimezia cathartica
606777,Pseudotrimezia juncifolia (Klatt) Lovo & A.Gil,NA,Iridaceae,species,accepted,Pseudotrimezia juncifolia,NA,replaced synonym,Trimezia juncifolia,Erva,Terrícola,Campo de Altitude|Campo rupestre|Cerrado (lato sensu),Cerrado|Mata Atlântica,Pseudotrimezia juncifolia
NA,NA,NA,NA,NA,NA,NA,NA,not found,Trimezia juncifolia parviflora,NA,NA,NA,NA,Pseudotrimezia juncifolia
NA,NA,NA,NA,NA,NA,NA,NA,not found,Trimezia juncifolia speciosa,NA,NA,NA,NA,Pseudotrimezia speciosa
8078,Trimezia lutea (Klatt) Foster,NA,Iridaceae,species,accepted,Trimezia lutea,NA,,Trimezia lutea,Erva,Terrícola,Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria,Cerrado|Mata Atlântica,Trimezia lutea
8080,Trimezia spathata (Klatt) Baker,NA,Iridaceae,species,accepted,Trimezia spathata,NA,replaced synonym,Trimezia martii,Erva,Terrícola,Área Antrópica|Cerrado (lato sensu),Cerrado,Trimezia spathata
8079,Trimezia martinicensis (Jacq.) Herb.,NA,Iridaceae,species,accepted,Trimezia martinicensis,NA,,Trimezia martinicensis,Erva,Terrícola,Área Antrópica|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)|Restinga,Amazônia|Caatinga|Cerrado|Mata Atlântica,Trimezia martinicensis
36431,Trimezia organensis Ravenna,NA,Iridaceae,species,accepted,Trimezia organensis,NA,,Trimezia organensis,Erva,Terrícola,Campo de Altitude|Vegetação Sobre Afloramentos Rochosos,Mata Atlântica,Trimezia organensis
606778,Pseudotrimezia plicatifolia (Chukr) Lovo & A.Gil,NA,Iridaceae,species,accepted,Pseudotrimezia plicatifolia,NA,replaced synonym,Trimezia plicatifolia,Erva,Terrícola,Cerrado (lato sensu),Cerrado,Pseudotrimezia plicatifolia
606779,Pseudotrimezia pusilla (Ravenna) A.Gil,NA,Iridaceae,species,accepted,Pseudotrimezia pusilla,NA,replaced synonym,Trimezia pusilla,Erva,Terrícola,Cerrado (lato sensu),Cerrado,Pseudotrimezia pusilla
606872,Deluciris rupestris (Ravenna) Lovo & A.Gil,NA,Iridaceae,species,accepted,Deluciris rupestris,NA,replaced synonym,Trimezia rupestris,Erva,Rupícola,Campo rupestre|Cerrado (lato sensu),Cerrado,Deluciris rupestris
17841,Trimezia sincorana Ravenna,NA,Iridaceae,species,accepted,Trimezia sincorana,NA,,Trimezia sincorana,Erva,Rupícola|Terrícola,Campo rupestre|Cerrado (lato sensu),Caatinga|Cerrado,Trimezia sincorana
