id,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status,notes,original.search,life.form,habitat,vegetation.type,domain,corrected.name
NA,NA,NA,NA,NA,NA,NA,NA,not found,Acisanthera variabilis glabriuscula,NA,NA,NA,NA,NA
19606,Acisanthera variabilis (Naud.) Triana,NA,Melastomataceae,species,accepted,Acisanthera variabilis,NA,,Acisanthera variabilis,Erva|Subarbusto,Terrícola,Campo rupestre|Floresta Estacional Semidecidual,Caatinga|Cerrado|Mata Atlântica,Acisanthera variabilis
NA,NA,NA,NA,NA,NA,NA,NA,not found,Acisanthera variabilis triflora,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,not found,Appendicularia pullei,NA,NA,NA,NA,Appendicularia pullei
85200,Appendicularia thymifolia (Bonpl.) DC.,NA,Melastomataceae,species,accepted,Appendicularia thymifolia,NA,,Appendicularia thymifolia,Erva,Terrícola,Campinarana,Amazônia,Appendicularia thymifolia
109539,Comolia berberifolia (Bonpl.) DC.,NA,Melastomataceae,species,accepted,Comolia berberifolia,NA,,Comolia berberifolia,Subarbusto,Terrícola,NA,NA,Comolia berberifolia
604555,Fritzschia edmundoi (Brade) M.J.R.Rocha & P.J.F.Guim.,NA,Melastomataceae,species,accepted,Fritzschia edmundoi,EN,replaced synonym,Comolia edmundoi,Subarbusto,Terrícola,Campo Limpo|Campo rupestre|Cerrado (lato sensu),Cerrado,Fritzschia edmundoi
604557,Fritzschia lanceiflora (Mart. & Schrank ex DC.) M.J.R.Rocha & P.J.F.Guim.,NA,Melastomataceae,species,accepted,Fritzschia lanceiflora,NA,replaced synonym,Comolia lanceaeflora,Subarbusto,Terrícola,Campo Limpo|Campo rupestre|Cerrado (lato sensu),Cerrado|Mata Atlântica,Fritzschia lanceiflora
604557,Fritzschia lanceiflora (Mart. & Schrank ex DC.) M.J.R.Rocha & P.J.F.Guim.,NA,Melastomataceae,species,accepted,Fritzschia lanceiflora,NA,replaced synonym,Comolia lanceiflora,Subarbusto,Terrícola,Campo Limpo|Campo rupestre|Cerrado (lato sensu),Cerrado|Mata Atlântica,Fritzschia lanceiflora
NA,NA,NA,NA,NA,NA,NA,NA,not found,Comolia lanceifolia,NA,NA,NA,NA,Fritzschia lanceiflora
85240,Comolia microphylla Benth.,NA,Melastomataceae,species,accepted,Comolia microphylla,NA,,Comolia microphylla,Arbusto|Subarbusto,Terrícola,Campinarana|Campo de Várzea,Amazônia,Comolia microphylla
NA,NA,NA,NA,NA,NA,NA,NA,not found,Comolia ovalifolia acutifolia,NA,NA,NA,NA,Comolia ovalifolia
NA,NA,NA,NA,NA,NA,NA,NA,not found,Comolia ovalifolia denudata,NA,NA,NA,NA,Comolia ovalifolia
9454,Comolia ovalifolia (DC.) Triana,NA,Melastomataceae,species,accepted,Comolia ovalifolia,NA,,Comolia ovalifolia,Erva|Subarbusto,Terrícola,Floresta Estacional Semidecidual|Restinga,Mata Atlântica,Comolia ovalifolia
