datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2019-06-10 10:10:07-03"	FZB-BH	BHZB	8933	"Minaria decussata"	S	Plantae				Apocynaceae	Minaria	decussata			"Fernandes, M.G.C. confirmada por Rapini,A."					1891		"Ordones, J. et al."	2012	04	18				Brasil	MG	"Santana do Riacho"	"RPPN Brumas do Espinhaço e Ermo dos Gerais"	-43.728611	-19.0425					1530	1530									"Cespitoso. .Ponto 92, 633790 7893998 1530 m, Duplicata doada para Herb. HUEFS"	
"2019-06-10 10:10:07-03"	FZB-BH	BHZB	8936	"Minaria ditassoides"	S	Plantae				Apocynaceae	Minaria	ditassoides			"Fernandes , M.G.C, confirmada por A. Rapini"					1975		"Ordones, J. et al."	2012	04	19				Brasil	MG	"Santana do Riacho"	"RPPN Brumas do Espinhaço e Ermo dos Gerais"	0	0	-43.7144012451172	-19.1688995361328	26557												"Solo arenoso.s/ponto"	
"2019-06-10 10:10:07-03"	FZB-BH	BHZB	9901	"Minaria decussata"	S	Plantae				Apocynaceae	Minaria	decussata								2192		"Ordones, J. et al."	2013	01	31				Brasil	MG	"Santana do Riacho"	"RPPN Brumas do Espinhaço e Ermo do Gerais"	0	0	-43.7144012451172	-19.1688995361328	26557												"Folhas revolutas., Doação de duplicata para Herbário HUEFS em setembro de 2014. .Doação de duplicata para o Herbário COR Dezembro 2015"	
"2019-06-10 10:10:07-03"	FZB-BH	BHZB	8382	"Minaria decussata"	S	Plantae				Apocynaceae	Minaria	decussata								3744		"Rezende, S.G et al."	2009	10	28				Brasil	MG	Mariana	"Mina Samarco - Norte de Alegria 1 e 6"	-43.514722	-20.154722					1180	1180									"Doação Sete Soluções. BHCB 138489. Sobre minério de ferro. Coord: 20° 9' 17\" S; 43° 30' 53\"W. Alt: 1180 a 1250 m. Outros coletores: Mendes, M.S..Doação de duplicata para o Herbário COR Dezembro 2015"	
"2019-06-10 10:10:07-03"	FZB-BH	BHZB	8635	"Minaria ditassoides"	S	Plantae				Apocynaceae	Minaria	ditassoides			"Fernandes , M.G.C, confirmada por A. Rapini"	2012	10			381		"Andrade, I.R. et al."	2012	05	17				Brasil	MG	"Santana do Riacho"	"RPPN Brumas do Espinhaço e Ermo dos Gerais."	0	0	-43.7144012451172	-19.1688995361328	26557													
"2019-06-10 10:10:07-03"	FZB-BH	BHZB	8934	"Minaria micromeria"	S	Plantae				Apocynaceae	Minaria	micromeria			"Fernandes, MG.C confirmada por A. Rapini"					1923		"Ordones, J. et al."	2012	04	19				Brasil	MG	"Santana do Riacho"	"RPPN Brumas do Espinhaço e Ermo dos Gerais"	-43.709444	-19.049444					1297	1297									"Ponto 93, 635798 7893206 1297 m, Duplicata doada para Herb. HUEFS. .Doação de duplicata para o Herbário COR Dezembro 2015"	
"2019-06-10 10:10:07-03"	FZB-BH	BHZB	9265	"Minaria ditassoides"	S	Plantae				Apocynaceae	Minaria	ditassoides			"Fernandes, MGC, confirmada por Rapini,A."	2012	10			1651		"Fernandes, M.G.C. et al."	2012	07	12				Brasil	MG	"Santana do Riacho"	"RPPN Brumas do Espinhaço e Ermo do Gera"	0	0	-43.7144012451172	-19.1688995361328	26557												"s/ponto , Duplicata doada para HUEFS."	
"2019-06-10 10:10:07-03"	FZB-BH	BHZB	9894	"Minaria parva"	S	Plantae				Apocynaceae	Minaria	parva								303		"Fernandes, F.M. et al"	2012	11	29				Brasil	MG	"Santana do Riacho"	"RPPN Brumas do Espinhaço e Ermo do Gerais"	0	0	-43.7144012451172	-19.1688995361328	26557												"Área queimada em outubro/2012., Doação de duplicata para Herbário HUEFS em setembro de 2014..Doação de duplicata para o Herbário COR Dezembro 2015"	
"2019-06-10 10:10:07-03"	FZB-BH	BHZB	8636	"Minaria hemipogonoides"	S	Plantae				Apocynaceae	Minaria	hemipogonoides			"Rapini, , A."	2012	10			382		"Andrade, I.R. et al."	2012	05	16				Brasil	MG	"Santana do Riacho"	"RPPN Brumas do Espinhaço e Ermo dos Gerais,"	-43.714444	-19.034167					1478	1478									"Ponto 105, 635291 7894912 1478m prostrada.Duplicata doada para Herbário HUEFS"	
"2019-06-10 10:10:07-03"	FZB-BH	BHZB	8935	"Minaria magisteriana"	S	Plantae				Apocynaceae	Minaria	magisteriana			"Rapini, A."	2012	10			1855		"Ordones, J. et al."	2012	04	17				Brasil	MG	"Santana do Riacho"	"RPPN Brumas do Espinhaço e Ermo dos Gerais"	-43.704722	-19.025					1223	1223									"Ponto 88, 636319 7895899 1223m., Duplicata doada para Herb. HUEFS. Doação de duplicata para o Herbário COR Dezembro 2015"	
