gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	recordedByID	identifiedByID
1261129694									http://www.tropicos.org/Specimen/428040																	urn:catalog:MO:Tropicos:428040										http://creativecommons.org/licenses/by/4.0/legalcode			2011-06-10 16:05:00.0								Missouri Botanical Garden							PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15859		MO	MO	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:428040	428040	Anderson 8608	William R. Anderson																																	1973	4	11												South America				Brazil	BR	Minas Gerais			Serra do Espinhaco, 20 km by rd SW of Gouveia, at km 60 on rd to Curvelo, pebbly cerrado and sandy, grassy campo		1150.00000000																																																			A. Rapini	1999				2609869								Ditassa ditassoides (Silveira) Fontella								Plantae				Apocynaceae	Ditassa		ditassoides				(Silveira) Fontella		ICNafp		No opinion			
1261129671									http://www.tropicos.org/Specimen/428032																	urn:catalog:MO:Tropicos:428032										http://creativecommons.org/licenses/by/4.0/legalcode			2008-05-27 22:02:00.0								Missouri Botanical Garden							PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15859		MO	MO	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:428032	428032	Irwin 19883	Howard S. Irwin|et al.																																	1968	2	12												South America				Brazil	BR	Minas Gerais			Upland campo and adjacent rocky slopes and outcrops, Serra do Itabirito, ca 45 km SE of Belo Horizonte		1600.00000000																																																			D. Spellman	1975				2600955								Ditassa decussata Mart.								Plantae				Apocynaceae	Ditassa		decussata				Mart.		ICNafp		No opinion			
1261129670									http://www.tropicos.org/Specimen/428024																	urn:catalog:MO:Tropicos:428024										http://creativecommons.org/licenses/by/4.0/legalcode			2008-05-27 22:02:00.0								Missouri Botanical Garden							PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15859		MO	MO	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:428024	428024	Irwin 30386	Howard S. Irwin|et al.																																	1971	1	15												South America				Brazil	BR	Minas Gerais			Serro do Espinhaco. Upper slopes of Serra da Piedade, ca 35 km E of Belo Horizonte, near BR-31.		1850.00000000																																																			J. van Rooden	1978				2600955								Ditassa decussata Mart.								Plantae				Apocynaceae	Ditassa		decussata				Mart.		ICNafp		No opinion			
1261129601									http://www.tropicos.org/Specimen/427942																	urn:catalog:MO:Tropicos:427942										http://creativecommons.org/licenses/by/4.0/legalcode			2011-12-08 05:05:00.0								Missouri Botanical Garden							PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15859		MO	MO	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:427942	427942	Brooks 153	Robert R. Brooks|et al.	1																																1988	4	21												South America				Brazil	BR	Goiás			Macedo, ca 15 km N of Niquelandia; S facing hill slope, stable peridotite/dunite-based scree & flat area below, ca 500-800 m E of nickel workings, Campo-cerrado, lower part of hillside		1000.00000000										-14.3000000	-48.3833333																																								W.D. Stevens	2010				50298821								Minaria cordata (Turcz.) T.U.P. Konno & Rapini								Plantae				Apocynaceae	Minaria		cordata				(Turcz.) T.U.P. Konno & Rapini		ICNafp		No opinion			
1261129599									http://www.tropicos.org/Specimen/427952																	urn:catalog:MO:Tropicos:427952										http://creativecommons.org/licenses/by/4.0/legalcode			2015-08-13 05:50:00.0								Missouri Botanical Garden							PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15859		MO	MO	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:427952	427952	Harley 15264A	R.M. Harley|et al.	1																																1974	1	19												South America				Brazil	BR	Bahia			10 km N of Río de Contas on rd to Mato Grosso. Woodland along small stream normally damp grassland, now dry, and dry cerrado/carrasco woodland on slopes of surrounding quartzitic hills		1000.00000000										-13.4666667	-41.8333333																																								W.D. Stevens	2010				50298821								Minaria cordata (Turcz.) T.U.P. Konno & Rapini								Plantae				Apocynaceae	Minaria		cordata				(Turcz.) T.U.P. Konno & Rapini		ICNafp		No opinion			
1261129594									http://www.tropicos.org/Specimen/427936																	urn:catalog:MO:Tropicos:427936										http://creativecommons.org/licenses/by/4.0/legalcode			2015-08-13 05:50:00.0								Missouri Botanical Garden							PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15859		MO	MO	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:427936	427936	Harley 20151	R.M. Harley|et al.	1																																1977	3	28												South America				Brazil	BR	Bahia			Serra do Rio de Contas. Between 2.5 and 5 km S of Vila do Rio de Contas on side rd to W of the rd to Licramento, leading to the Rio Brumado. Rocky riverside with rapids, riverine vegetation, cerrado with sandstone outcrops and some grassland areas subject to flooding but dry at time of collection.		980.00000000										-13.6000000	-41.8333333																																								W.D. Stevens	2010				50298821								Minaria cordata (Turcz.) T.U.P. Konno & Rapini								Plantae				Apocynaceae	Minaria		cordata				(Turcz.) T.U.P. Konno & Rapini		ICNafp		No opinion			
1261129015									http://www.tropicos.org/Specimen/427364																	urn:catalog:MO:Tropicos:427364										http://creativecommons.org/licenses/by/4.0/legalcode			2019-02-19 04:30:00.0								Missouri Botanical Garden							PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15859		MO	MO	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:427364	427364	Martius 20178	C.F.P. Martius	1																																1817	5													South America				Brazil	BR	Minas Gerais			Monte Itambé da Villa do Principe																																																				Holotype						50298818								Minaria acerosa (Mart.) T.U.P. Konno & Rapini								Plantae				Apocynaceae	Minaria		acerosa				(Mart.) T.U.P. Konno & Rapini		ICNafp		No opinion			
1261129001									http://www.tropicos.org/Specimen/427340																	urn:catalog:MO:Tropicos:427340										http://creativecommons.org/licenses/by/4.0/legalcode			2015-08-13 05:50:00.0								Missouri Botanical Garden							PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15859		MO	MO	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:427340	427340	Harley 16795	R.M. Harley|et al.	1																																1974	3	5												South America				Brazil	BR	Bahia			8 km NW of Lagoinha (5.5 km SW of Delfino) on the road to Minas do Mimoso. Caatinga/cerrado		850.00000000										-10.4000000	-41.2833333																																								W.D. Stevens	2010				50298818								Minaria acerosa (Mart.) T.U.P. Konno & Rapini								Plantae				Apocynaceae	Minaria		acerosa				(Mart.) T.U.P. Konno & Rapini		ICNafp		No opinion			
1261128998									http://www.tropicos.org/Specimen/427332																	urn:catalog:MO:Tropicos:427332										http://creativecommons.org/licenses/by/4.0/legalcode			2010-09-23 13:28:00.0								Missouri Botanical Garden							PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15859		MO	MO	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:427332	427332	Hatschbach 42810	Gert G. Hatschbach	1																																1980	3	20												South America				Brazil	BR	Minas Gerais	São Gonçalo do Abaeté		Rod. BR-365, km 261		900.00000000																																																			W.D. Stevens	2010				50298818								Minaria acerosa (Mart.) T.U.P. Konno & Rapini								Plantae				Apocynaceae	Minaria		acerosa				(Mart.) T.U.P. Konno & Rapini		ICNafp		No opinion			
1261128988									http://www.tropicos.org/Specimen/427348																	urn:catalog:MO:Tropicos:427348										http://creativecommons.org/licenses/by/4.0/legalcode			2015-08-13 05:50:00.0								Missouri Botanical Garden							PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15859		MO	MO	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:427348	427348	Harley 20050	R.M. Harley|et al.	1																																1977	3	27												South America				Brazil	BR	Bahia			Serra do Rio de Contas. Ca. 5 km E of the Vila do Rio de Contas on the Marcolino Moura rd. Dry grassland on quartzite and white sand.		1000.00000000										-13.5833333	-41.8000000																																								W.D. Stevens	2010				50298818								Minaria acerosa (Mart.) T.U.P. Konno & Rapini								Plantae				Apocynaceae	Minaria		acerosa				(Mart.) T.U.P. Konno & Rapini		ICNafp		No opinion			
