taxa,suggested,corrected,srcs
Paepalanthus brachyphyllus,Paepalanthus brachyphyllus,Paepalanthus brachyphyllus,The Plant List
Paepalanthus brachypus brevipilosus,NA,Actinocephalus brachypus,The Plant List
Paepalanthus brachypus,Paepalanthus brachypus,Actinocephalus brachypus,The Plant List
Paepalanthus brevis,Paepalanthus brevis,Paepalanthus brevis,The Plant List
Paepalanthus bromelioides,Paepalanthus bromelioides,Paepalanthus bromelioides,The Plant List
Paepalanthus broyoides,Paepalanthus bryoides,Paepalanthus bryoides,The Plant List
Paepalanthus brunescens,Paepalanthus brunnescens,Paepalanthus brunnescens,The Plant List
Paepalanthus brunnescens,Paepalanthus brunnescens,Paepalanthus brunnescens,The Plant List
Paepalanthus bryoides,Paepalanthus bryoides,Paepalanthus bryoides,The Plant List
Paepalanthus bulbosus,Paepalanthus bulbosus,Paepalanthus bulbosus,The Plant List
Paepalanthus cachambuensis,Paepalanthus cachambuensis,Paepalanthus cachambuensis,The Plant List
Paepalanthus cacuminis,Paepalanthus cacuminis,Paepalanthus cacuminis,The Plant List
Paepalanthus caespititius,Paepalanthus caespititius,Paepalanthus caespititius,The Plant List
Paepalanthus caespititus,Paepalanthus caespititius,Paepalanthus caespititius,The Plant List
Paepalanthus caldensis,Paepalanthus caldensis,Paepalanthus caldensis,The Plant List
Paepalanthus callocephalus villosus,Paepalanthus callocephalus var. villosus,Paepalanthus callocephalus var. villosus,Flora do Brasil
Paepalanthus calulus,Paepalanthus calvulus,Paepalanthus calvulus,Flora do Brasil
Paepalanthus calvoides,Paepalanthus calvoides,Paepalanthus calvoides,Flora do Brasil
Paepalanthus calvulus,Paepalanthus calvulus,Paepalanthus calvulus,The Plant List
Paepalanthus calvus,Paepalanthus calvus,Paepalanthus calvus,The Plant List
Paepalanthus camptophyllus,Paepalanthus camptophyllus,Paepalanthus camptophyllus,The Plant List
Paepalanthus canastrensis,Paepalanthus canastrensis,Paepalanthus canastrensis,The Plant List
Paepalanthus candidus,Paepalanthus candidus,Paepalanthus candidus,The Plant List
Paepalanthus canescens atratus,Paepalanthus canescens var. atratus,Paepalanthus canescens var. atratus,Flora do Brasil
Paepalanthus canescens,Paepalanthus canescens,Paepalanthus canescens,The Plant List
Paepalanthus capanemae,Paepalanthus capanemae,Paepalanthus capanemae,The Plant List
Paepalanthus capaöensis,Paepalanthus caparoensis,Paepalanthus caparoensis,The Plant List
Paepalanthus caparoensis,Paepalanthus caparoensis,Paepalanthus caparoensis,The Plant List
Paepalanthus capillare,Paepalanthus capillaris,Paepalanthus capillaris,The Plant List
Paepalanthus capillaris,Paepalanthus capillaris,Paepalanthus capillaris,The Plant List
Paepalanthus capillatus,Paepalanthus capillatus,Paepalanthus capillatus,The Plant List
Paepalanthus capillifolius,Paepalanthus capillifolius,Paepalanthus capillifolius,The Plant List
Paepalanthus capitatus,Paepalanthus capitatus,Paepalanthus capitatus,The Plant List
Paepalanthus capito,Paepalanthus capito,Paepalanthus capito,The Plant List
Paepalanthus carvalhoi,Paepalanthus carvalhoi,Paepalanthus carvalhoi,The Plant List
Paepalanthus cassiae,Paepalanthus chaseae,Paepalanthus chaseae,The Plant List
