"id","scientific.name","accepted.name","family","taxon.rank","taxon.status","search.str","threat.status","notes","original.search","life.form","habitat","vegetation.type","domain"
37662,"Habenaria floribunda Lindl.",NA,"Orchidaceae","species","accepted","Habenaria floribunda",NA,"","Habenaria floribunda","Erva","Terrícola","Campo rupestre|Cerrado (lato sensu)|Floresta Estacional Semidecidual","Cerrado|Mata Atlântica"
11661,"Habenaria fluminensis Hoehne",NA,"Orchidaceae","species","accepted","Habenaria fluminensis",NA,"","Habenaria fluminensis","Erva","Terrícola","Campo rupestre|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)","Caatinga|Cerrado|Mata Atlântica"
11713,"Habenaria trifida Kunth",NA,"Orchidaceae","species","accepted","Habenaria trifida","LC","replaced synonym","Habenaria gehrtii","Erva","Terrícola","Área Antrópica|Campo de Várzea|Campo Limpo|Cerrado (lato sensu)|Savana Amazônica|Vegetação Sobre Afloramentos Rochosos","Amazônia|Caatinga|Cerrado|Mata Atlântica"
31897,"Habenaria guilleminii Rchb.f.",NA,"Orchidaceae","species","accepted","Habenaria guilleminii",NA,"was misspelled","Habenaria gilleminii","Erva","Terrícola","Campo Limpo|Campo rupestre","Cerrado|Mata Atlântica"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Habenaria glaucophylla brevifolia",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Habenaria glaucophylla glaucophylla",NA,NA,NA,NA
11663,"Habenaria glaucophylla Barb.Rodr.",NA,"Orchidaceae","species","accepted","Habenaria glaucophylla",NA,"","Habenaria glaucophylla","Erva","Terrícola","Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",NA
20066,"Habenaria glazioviana Kraenzl.",NA,"Orchidaceae","species","accepted","Habenaria glazioviana",NA,"","Habenaria glazioviana","Erva","Terrícola","Campo de Várzea|Campo Limpo|Floresta de Igapó|Palmeiral|Savana Amazônica|Vegetação Sobre Afloramentos Rochosos","Amazônia|Caatinga|Cerrado"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Habenaria gourlieana magna",NA,NA,NA,NA
11665,"Habenaria gourlieana Gill. ex Lindl.",NA,"Orchidaceae","species","accepted","Habenaria gourlieana","LC","","Habenaria gourlieana","Erva","Terrícola","Campo Limpo|Floresta Ciliar ou Galeria","Amazônia|Cerrado|Mata Atlântica"
20067,"Habenaria goyazensis Cogn.",NA,"Orchidaceae","species","accepted","Habenaria goyazensis",NA,"","Habenaria goyazensis","Erva","Terrícola","Área Antrópica|Campo Limpo|Floresta Ciliar ou Galeria|Floresta de Terra Firme","Amazônia|Cerrado|Mata Atlântica"
