"taxa","suggested"
"Barbacenia vandellii","Barbacenia vandellii"
"Barbacenia vellozioides","Barbacenia vellozioides"
"Barbacenia velutina","Barbacenia glutinosa"
"Barbacenia williamsii","Barbacenia williamsii"
"Burlemarxia pungens","Burlemarxia pungens"
"Burlemarxia rodriguesii","Burlemarxia rodriguesii"
"Burlemarxia rodriquesii","Burlemarxia rodriguesii"
"Burlemarxia spiralis","Burlemarxia spiralis"
"Nanuza luetzelburgii","Nanuza luetzelburgii"
"Nanuza plicata","Nanuza plicata"
"Pleurostima andersonii","Pleurostima andersonii"
"Pleurostima delicatula","Pleurostima delicatula"
"Pleurostima flavida","Pleurostima flavida"
"Pleurostima hatschbachii","Pleurostima hatschbachii"
"Pleurostima inclinata","Pleurostima inclinata"
"Pleurostima irwiniana","Pleurostima irwiniana"
"Pleurostima longiscapa","Pleurostima longiscapa"
"Pleurostima nuda",NA
"Pleurostima plantaginea","Prescottia plantaginea"
"Pleurostima riparia","Pleurostima riparia"
"Pleurostima squamata","Pleurostima squamata"
"Pleurostima stenophylla","Pleurostima stenophylla"
"Vellozia abietina","Vellozia abietina"
"Vellozia Aff. epidendroides","Vellozia aff. epidendroides"
"Vellozia alata","Vellozia alata"
"Vellozia albiflora","Vellozia albiflora"
"Vellozia aloifolia","Vellozia aloifolia"
"Vellozia angustifolia","Vellozia angustifolia"
"Vellozia annulata","Vellozia annulata"
"Vellozia armata","Vellozia armata"
"Vellozia asperula filifolia","Vellozia asperula var. filifolia"
"Vellozia asperula","Vellozia asperula"
"Vellozia asperula var. filifolia","Vellozia asperula var. filifolia"
"Vellozia auriculata","Vellozia auriculata"
"Vellozia bahiana","Vellozia bahiana"
"Vellozia barbaceniifolia","Vellozia barbaceniifolia"
"Vellozia barbata","Vellozia barbata"
"Vellozia bicarinata","Vellozia bicarinata"
"Vellozia bicolor","Vellozia bicolor"
"Vellozia blanchetiana","Vellozia blanchetiana"
"Vellozia brachypoda","Vellozia brachypoda"
"Vellozia bradei","Vellozia bradei"
"Vellozia brevifolia angustior","Vellozia brevifolia var. angustior"
"Vellozia brevifolia","Vellozia brevifolia"
"Vellozia brevifolia var. angustior l.b.sm.","Vellozia brevifolia var. angustior"
"Vellozia brevifolia var. angustior","Vellozia brevifolia var. angustior"
"Vellozia breviscapa","Vellozia breviscapa"
"Vellozia burle-marxii","Vellozia burle-marxii"
"Vellozia burle","Vellozia harleyi"
"Vellozia burlemarxii","Vellozia burlemarxii"
"Vellozia caespitosa","Vellozia caespitosa"
"Vellozia campanuloides","Vellozia campanuloides"
"Vellozia cana","Vellozia cana"
"Vellozia candida","Vellozia candida"
"Vellozia canelinha","Vellozia canelinha"
"Vellozia capiticola","Vellozia capiticola"
"Vellozia caput-ardeae","Vellozia caput-ardeae"
"Vellozia caruncularis","Vellozia caruncularis"
"Vellozia castanea","Vellozia castanea"
"Vellozia caudata","Vellozia caudata"
"Vellozia ciliata","Vellozia ciliata"
"Vellozia cinerascens","Vellozia cinerascens"
"Vellozia cipoensis","Vellozia goiasensis"
"Vellozia compacta","Vellozia compacta"
"Vellozia contasana","Vellozia costata"
"Vellozia coronata","Vellozia coronata"
"Vellozia costata","Vellozia costata"
"Vellozia crassicaulis","Vellozia crassicaulis"
"Vellozia crassirama","Vellozia crassirama"
"Vellozia crinita","Vellozia crinita"
"Vellozia crispata","Vellozia crispata"
"Vellozia cryptantha","Vellozia cryptantha"
"Vellozia curuncularis","Vellozia caruncularis"
"Vellozia dasypus","Vellozia dasypus"
"Vellozia dawsonii","Vellozia dawsonii"
"Vellozia decidua","Vellozia decidua"
"Vellozia declinans","Vellozia declinans"
"Vellozia echinata","Vellozia echinata"
"Vellozia epidendroides major","Vellozia epidendroides var. major"
"Vellozia epidendroides","Vellozia epidendroides"
"Vellozia epidendroides var. major","Vellozia epidendroides var. major"
"Vellozia everaldii","Vellozia everaldoi"
"Vellozia exilis","Vellozia exilis"
"Vellozia fibrosa","Vellozia fibrosa"
"Vellozia flavicans","Vellozia flavicans"
"Vellozia fontellana","Vellozia stellata"
"Vellozia froesii","Vellozia froesii"
"Vellozia fruticosa","Vellozia fruticosa"
"Vellozia furcata","Vellozia furcata"
"Vellozia gardneri","Vellozia gardneri"
"Vellozia geotegens","Vellozia geotegens"
"Vellozia gigantea","Vellozia gigantea"
"Vellozia giuliettiae","Vellozia giuliettiae"
"Vellozia glabra","Vellozia glabra"
"Vellozia glandulifera","Vellozia glandulifera"
"Vellozia glauca","Vellozia glauca"
"Vellozia glaziovii","Vellozia glaziovii"
