taxa,suggested,corrected,srcs
Barbacenia markgrafii,Barbacenia markgrafii,Barbacenia markgrafii,The Plant List
Barbacenia minima,Barbacenia minima,Barbacenia minima,The Plant List
Barbacenia mollis,Barbacenia mollis,Barbacenia mollis,The Plant List
Barbacenia monticola,Barbacenia monticola,Barbacenia monticola,The Plant List
Barbacenia nana,Barbacenia nana,Barbacenia nana,The Plant List
Barbacenia nanuzae,Barbacenia nanuzae,Barbacenia nanuzae,The Plant List
Barbacenia nigrimarginata,Barbacenia nigrimarginata,Barbacenia nigrimarginata,The Plant List
Barbacenia nuda,Barbacenia nuda,Barbacenia nuda,The Plant List
Barbacenia pabstiana,Barbacenia pabstiana,Barbacenia pabstiana,The Plant List
Barbacenia palida,Barbacenia pallida,Barbacenia pallida,The Plant List
Barbacenia pallida,Barbacenia pallida,Barbacenia pallida,The Plant List
Barbacenia paranaensis,Barbacenia paranaensis,Barbacenia paranaensis,The Plant List
Barbacenia piranga,Barbacenia piranga,Barbacenia piranga,Flora do Brasil 2020
Barbacenia plantaginea,Barbacenia plantaginea,Barbacenia plantaginea,The Plant List
Barbacenia polyantha,Barbacenia polyantha,Barbacenia polyantha,The Plant List
Barbacenia pulverulenta,Barbacenia pulverulenta,Barbacenia pulverulenta,The Plant List
Barbacenia pungens,Barbacenia pungens,Barbacenia pungens,The Plant List
Barbacenia purpurea,Barbacenia purpurea,Barbacenia purpurea,The Plant List
Barbacenia rectifolia,Barbacenia rectifolia,Barbacenia rectifolia,The Plant List
Barbacenia reflexa,Barbacenia reflexa,Barbacenia reflexa,The Plant List
Barbacenia regis,Barbacenia regis,Barbacenia regis,The Plant List
Barbacenia riedeliana,Barbacenia riedeliana,Barbacenia riedeliana,The Plant List
Barbacenia riparia,Barbacenia riparia,Barbacenia riparia,The Plant List
Barbacenia rodriguesii,Barbacenia rodriguesii,Barbacenia rodriguesii,The Plant List
Barbacenia rogieri,Barbacenia rogieri,Barbacenia rogieri,The Plant List
Barbacenia rubro-virens,Barbacenia rubro-virens,Barbacenia rubrovirens,Flora do Brasil 2020
Barbacenia rubrovirens,Barbacenia rubrovirens,Barbacenia rubrovirens,Flora do Brasil 2020
Barbacenia salmonea,Barbacenia salmonea,Barbacenia salmonea,The Plant List
Barbacenia saxicola,Barbacenia saxicola,Barbacenia saxicola,The Plant List
Barbacenia schawckei,Barbacenia schwackei,Barbacenia schwackei,The Plant List
Barbacenia schwackei,Barbacenia schwackei,Barbacenia schwackei,The Plant List
Barbacenia sellovii,Barbacenia sellovii,Barbacenia sellowii,Flora do Brasil 2020
Barbacenia sellowii,Barbacenia sellowii,Barbacenia sellowii,The Plant List
Barbacenia serracabralea,Barbacenia serracabralea,Barbacenia serracabralea,The Plant List
Barbacenia serracabralea sp.,Barbacenia sp.,Barbacenia serracabralea,Flora do Brasil 2020
Barbacenia sessiliflora,Barbacenia sessiliflora,Barbacenia sessiliflora,Flora do Brasil 2020
Barbacenia seubertiana,Barbacenia seubertiana,Barbacenia seubertiana,Flora do Brasil 2020
Barbacenia sordida,Barbacenia sordida,Barbacenia markgrafii,The Plant List
Barbacenia spiralis,Barbacenia spiralis,Barbacenia spiralis,The Plant List
Barbacenia squamata,Barbacenia squamata,Barbacenia squamata,The Plant List
Barbacenia stenophylla,Barbacenia stenophylla,Barbacenia stenophylla,The Plant List
Barbacenia tomentosa,Barbacenia tomentosa,Barbacenia tomentosa,The Plant List
Barbacenia tragacantha,Barbacenia macrantha,?,
Barbacenia tricolor,Barbacenia tricolor,Barbacenia tricolor,The Plant List
Barbacenia trigona,Barbacenia trigona,Barbacenia trigona,The Plant List
Barbacenia tuba,Barbacenia tuba,Barbacenia tuba,Flora do Brasil 2020
Barbacenia umbrosa,Barbacenia umbrosa,Barbacenia umbrosa,The Plant List
Barbacenia undesignated,NA,?,
Barbacenia vandellii,Barbacenia vandellii,Barbacenia vandellii,The Plant List
Barbacenia vellozioides,Barbacenia vellozioides,Barbacenia vellozioides,Flora do Brasil 2020
Barbacenia velutina,Barbacenia glutinosa,Xerophyta velutina,The Plant List
Barbacenia williamsii,Barbacenia williamsii,Barbacenia williamsii,The Plant List
Burlemarxia pungens,Burlemarxia pungens,Barbacenia pungens,The Plant List
Burlemarxia rodriguesii,Burlemarxia rodriguesii,Barbacenia rodriguesii,The Plant List
Burlemarxia rodriquesii,Burlemarxia rodriguesii,Barbacenia rodriguesii,The Plant List
Burlemarxia spiralis,Burlemarxia spiralis,Barbacenia spiralis,The Plant List
Nanuza luetzelburgii,Nanuza luetzelburgii,Nanuza luetzelburgii,The Plant List
Nanuza plicata,Nanuza plicata,Nanuza plicata,The Plant List
Pleurostima andersonii,Pleurostima andersonii,Barbacenia andersonii,The Plant List
Pleurostima delicatula,Pleurostima delicatula,Barbacenia delicatula,The Plant List
