gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
1228500664	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/669/171/V0218473F.jpg		V0218473F	Diplusodon buxifolius Cham. & Schltdl., BRAZIL, F		Field Museum of Natural History - Botany Department | GDI 2013-2015					[Copyright] The Field Museum	
1228499491	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/669/167/V0218469F.jpg		V0218469F	Diplusodon buxifolius Cham. & Schltdl., BRAZIL, F		Field Museum of Natural History - Botany Department | GDI 2013-2015					[Copyright] The Field Museum	
1228499444	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/669/264/V0218566F.jpg		V0218566F	Diplusodon rotundifolius DC., BRAZIL, F		Field Museum of Natural History - Botany Department | GDI 2013-2015					[Copyright] The Field Museum	
1228496281	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/136/923/V0076316F.jpg		V0076316F	Diplusodon glaziovii var. subspathulatus Koehne, BRAZIL, A. F. M. Glaziou 19174, Isotype, F		Field Museum of Natural History - Botany Department | NSF/Mellon - GPI					[Copyright] Field Museum of Natural History - CC BY-NC	
1228488341	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/669/713/V0219148F.jpg		V0219148F	Diplusodon lanceolatus Pohl, BRAZIL, F		Field Museum of Natural History - Botany Department | GDI 2013-2015					[Copyright] The Field Museum	
1228487927	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/276/997/19598.jpg		19598	Field Museum photo negatives collection; München specimen of Diplusodon parvifolius DC., BRAZIL, C. F. P. Martius, Holotype, M		Field Museum of Natural History - Botany Department					[Copyright] The Field Museum	
1228486414	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/33/211/17928.jpg		17928	Field Museum photo negatives collection		Field Museum of Natural History - Botany Department					[Copyright] The Field Museum	
1228485986	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/669/261/V0218563F.jpg		V0218563F	Diplusodon rosmarinifolius A. St.-Hil., BRAZIL, F		Field Museum of Natural History - Botany Department | GDI 2013-2015					[Copyright] The Field Museum	
1228482038	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/669/306/V0218608F.jpg		V0218608F	Diplusodon virgatus Pohl, BRAZIL, F		Field Museum of Natural History - Botany Department | GDI 2013-2015					[Copyright] The Field Museum	
1228479499	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/136/938/V0076331F.jpg		V0076331F	Diplusodon macrodon Koehne, Brazil, G. Gardner 4136 bis, Isosyntype, F		Field Museum of Natural History - Botany Department | NSF/Mellon - GPI					[Copyright] Field Museum of Natural History - CC BY-NC	
