datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2014-09-23 10:58:31-03"	G	G	G00227369	"Diplusodon incanus"	S	Plantae				Lythraceae	Diplusodon	incanus		Gardner	?				"TYPUS of Diplusodon incanus var. serpyllum Koehne"	4141		"Gardner, G."	1841		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206356&base=img&lang=en"	G00227369
"2014-09-23 10:58:31-03"	G	G	G00227370	"Diplusodon incanus var. hirtellus"	S	Plantae				Lythraceae	Diplusodon	incanus	"var. hirtellus"	Koehne	?				"TYPUS of Diplusodon incanus var. hirtellus Koehne"	4137		"Gardner, G."	1842		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206357&base=img&lang=en"	G00227370
"2014-09-23 10:58:31-03"	G	G	G00227371	"Diplusodon incanus var. hirtellus"	S	Plantae				Lythraceae	Diplusodon	incanus	"var. hirtellus"	Koehne	?				"TYPUS of Diplusodon incanus var. hirtellus Koehne"	4137		"Gardner, G."	1842		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206358&base=img&lang=en"	G00227371
"2014-09-23 10:58:31-03"	G	G	G00227372	"Diplusodon incanus var. hirtellus"	S	Plantae				Lythraceae	Diplusodon	incanus	"var. hirtellus"	Koehne	?				"TYPUS of Diplusodon incanus var. hirtellus Koehne"	4137		"Gardner, G."	1842		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206360&base=img&lang=en"	G00227372
"2014-09-23 10:58:31-03"	G	G	G00227360	"Diplusodon lanceolatus"	S	Plantae				Lythraceae	Diplusodon	lanceolatus		Pohl	?				"TYPUS of Diplusodon lanceolatus f. petiolatus Koehne"	3724		"Gardner, G."	1841		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206337&base=img&lang=en"	G00227360
"2014-09-23 10:58:31-03"	G	G	G00227361	"Diplusodon lanceolatus"	S	Plantae				Lythraceae	Diplusodon	lanceolatus		Pohl	?				"TYPUS of Diplusodon lanceolatus f. petiolatus Koehne"	3724		"Gardner, G."	1841		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206339&base=img&lang=en"	G00227361
"2014-09-23 10:58:31-03"	G	G	G00227362	"Diplusodon lanceolatus"	S	Plantae				Lythraceae	Diplusodon	lanceolatus		Pohl	?				"TYPUS of Diplusodon lanceolatus f. petiolatus Koehne"	3724		"Gardner, G."	1841		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206345&base=img&lang=en"	G00227362
"2014-09-23 10:58:31-03"	G	G	G00227363	"Diplusodon lanceolatus"	S	Plantae				Lythraceae	Diplusodon	lanceolatus		Pohl	?				"TYPUS of Diplusodon lanceolatus f. foliosus Koehne"	3721		"Gardner, G."	1841		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206346&base=img&lang=en"	G00227363
"2014-09-23 10:58:31-03"	G	G	G00227364	"Diplusodon lanceolatus"	S	Plantae				Lythraceae	Diplusodon	lanceolatus		Pohl	?				"TYPUS of Diplusodon lanceolatus f. foliosus Koehne"	3721		"Gardner, G."	1841		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206347&base=img&lang=en"	G00227364
"2014-09-23 10:58:31-03"	G	G	G00227351	"Diplusodon macrodon"	S	Plantae				Lythraceae	Diplusodon	macrodon		Koehne	?				"TYPUS of Diplusodon macrodon Koehne"			"Gardner, G."	1842		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206040&base=img&lang=en"	G00227351
