"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude"
642,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6950","Lychnophora sellowii",NA,"J. E. Q. Faria",-18.423056,-43.418611
646,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6213","Lychnophora villosissima",NA,"B. Loueille",-18.0275,-43.818056
650,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6894","Minasia pereirae",NA,"J. E. Q. Faria",-19.256111,-43.553056
651,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6273","Minasia pereirae",NA,"D. A. Chaves",-18.324167,-43.546944
654,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6539","Lychnophora salicifolia",NA,"D. A. Chaves",-18.303333,-43.333889
684,"UFU","HUFU","77724","Anteremanthus piranii",NA,"J. N. Nakajima",-14.536111,-42.526667
907,"MBM","MBM","424014","Eremanthus capitatus",NA,"M. G. Staudt",-11.5575,-41.177778
913,"MBM","MBM","424010","Eremanthus reflexoauriculatus",NA,"M. G. Staudt",-11.627222,-41
924,"MBM","MBM","423948","Paralychnophora bicolor",NA,"H. P. Bautista",-13.048611,-41.878056
925,"MBM","MBM","423933","Lychnophora salicifolia",NA,"H. P. Bautista",-16.217222,-42.870278
926,"MBM","MBM","424016","Eremanthus capitatus",NA,"M. G. Staudt",-11.558889,-41.18
931,"MBM","MBM","424029","Centratherum punctatum",NA,"H. P. Bautista",-13.615556,-41.333056
939,"MBM","MBM","417605","Piptolepis buxoides",NA,"B. Loueille",-18.805278,-43.436611
940,"MBM","MBM","417907","Blanchetia heterotricha",NA,"M. L. Guedes",-12.683333,-41.166667
941,"MBM","MBM","417602","Lychnophora staavioides",NA,"B. Loueille",-18.443778,-43.430556
943,"MBM","MBM","417600","Heterocoma gracilis",NA,"B. Loueille",-18.129167,-43.378639
944,"MBM","MBM","417606","Piptolepis oleaster",NA,"B. Loueille",-18.092722,-43.341667
970,"Universidade Estadual de Londrina","FUEL","55353","Eremanthus capitatus",NA,"N. Roque",-13.082778,-41.860278
999,"Universidade Estadual de Londrina","FUEL","42878","Lychnophora ericoides",NA,"J. Semir",-16.9725,-43.571278
1001,"Universidade Estadual de Londrina","FUEL","42876","Proteopsis argentea",NA,"M. E. Mansanares",-18.200325,-43.709111
1004,"Universidade Estadual de Londrina","FUEL","42881","Proteopsis argentea",NA,"J. Semir",-17.712556,-44.198
1010,"Universidade Estadual de Londrina","FUEL","42887","Minasia ramosa",NA,"M. E. Mansanares",-17.712556,-44.198
1021,"Universidade Estadual de Londrina","FUEL","40710","Blanchetia heterotricha",NA,"H. P. Bautista",-11.133889,-37.908889
1027,"Universidade Estadual de Londrina","FUEL","39969","Albertinia brasiliensis",NA,"D. J. N. Hindi",-13.32,-41.798611
1036,"Universidade Estadual de Londrina","FUEL","32201","Eremanthus elaeagnus",NA,"B. Loueille",-17.073139,-44.02025
1039,"Universidade Estadual de Londrina","FUEL","32209","Eremanthus polycephalus",NA,"B. Loueille",-16.724444,-42.928333
1042,"Universidade Estadual de Londrina","FUEL","32207","Eremanthus argenteus",NA,"B. Loueille",-13.89975,-47.396917
1092,"Universidade Federal de Sergipe","ASE","9990","Chresta sphaerocephala",NA,"C. E. B. Proença",-15.4647,-47.5545
1096,"Universidade Federal de Sergipe","ASE","9801","Eremanthus mollis",NA,"C. E. B. Proença",-15.866667,-47.833333
1201,"Universidade Federal de Sergipe","ASE","22154","Eremanthus rondoniensis",NA,"B. Loueille",-15.575,-58.352778
1273,"Universidade Federal da Bahia","ALCB","43945","Elephantopus mollis",NA,"M. L. Guedes",-13.4,-41.283333
1274,"Universidade Federal da Bahia","ALCB","2625","Centratherum punctatum",NA,"D. J. N. Hindi",-12.516667,-40.3
1275,"Universidade Federal da Bahia","ALCB","2456","Centratherum punctatum",NA,"D. J. N. Hindi",-11.3,-41.85
1285,"Universidade Federal da Bahia","ALCB","0912","Elephantopus hirtiflorus",NA,"M. L. Guedes",-12.133333,-38.416667
1295,"Universidade de São Paulo","ESA","97795","Piptolepis schultziana",NA,"B. Loueille",-19.048,-43.7387
1296,"Universidade de São Paulo","ESA","97869","Lychnophora tomentosa",NA,"B. Loueille",-19.006111,-43.755556
1313,"Universidade de São Paulo","ESA","90963","Eremanthus harleyi",NA,"B. Loueille",-13.079167,-41.887778
1314,"Universidade de São Paulo","ESA","90676","Lychnophora granmogolensis",NA,"B. Loueille",-13.591389,-41.799722
1317,"Universidade de São Paulo","ESA","91123","Blanchetia heterotricha",NA,"B. Loueille",-12.806944,-40.0975
1318,"Universidade de São Paulo","ESA","91012","Lychnophora passerina",NA,"D. J. N. Hindi",-13.231389,-41.749167
1319,"Universidade de São Paulo","ESA","90396","Eremanthus reflexoauriculatus",NA,"M. Dematteis",-11.090833,-41.209444
1320,"Universidade de São Paulo","ESA","90097","Eremanthus argenteus",NA,"B. Loueille",-14.163611,-47.616667
1346,"Universidade de São Paulo","ESA","82970","Lychnophora pohlii",NA,"B. Loueille",-18.18,-43.543333
1347,"Universidade de São Paulo","ESA","82207","Eremanthus incanus",NA,"B. Loueille",-15.1135,-42.4839
1349,"Universidade de São Paulo","ESA","82971","Lychnophora ericoides",NA,"B. Loueille",-20.491667,-43.701667
1350,"Universidade de São Paulo","ESA","81598","Eremanthus glomerulatus",NA,"B. Loueille",-15.958889,-47.888333
1353,"Universidade de São Paulo","ESA","82017","Eremanthus glomerulatus",NA,"B. Loueille",-16.597778,-42.962778
1354,"Universidade de São Paulo","ESA","81468","Eremanthus goyazensis",NA,"B. Loueille",-13.5532,-47.2546
1362,"Universidade de São Paulo","ESA","78088","Lychnophora salicifolia",NA,"B. Loueille",-19.291944,-43.601667
1366,"Universidade de São Paulo","ESA","77883","Lychnophora gardneri",NA,"B. Loueille",-18.1301,-43.3537
1368,"Universidade de São Paulo","ESA","77705","Lychnophora ericoides",NA,"D. J. N. Hindi",-16.5807,-43.3204
1369,"Universidade de São Paulo","ESA","77953","Lychnophora pohlii",NA,"B. Loueille",-18.1658,-43.4312
1384,"Universidade de São Paulo","ESA","74246","Eremanthus harleyi",NA,"D. J. N. Hindi",-13.2832,-41.5111
1385,"Universidade de São Paulo","ESA","73827","Eremanthus elaeagnus",NA,"B. Loueille",-17.709167,-44.191389
1386,"Universidade de São Paulo","ESA","73838","Chresta sphaerocephala",NA,"B. Loueille",-17.7,-44.341389
1388,"Universidade de São Paulo","ESA","73911","Lychnophora markgravii",NA,"M. Dematteis",-17.702222,-44.296111
1389,"Universidade de São Paulo","ESA","74311","Elephantopus hirtiflorus",NA,"M. Dematteis",-13.4924,-42.2322
1392,"Universidade de São Paulo","ESA","73496","Elephantopus palustris",NA,"J. Semir",-19.380278,-43.576944
1395,"Universidade de São Paulo","ESA","73771","Lychnophora markgravii",NA,"M. Dematteis",-17.6975,-44.2675
1400,"Universidade de São Paulo","ESA","73465","Lychnophoriopsis damazioi",NA,"B. Loueille",-19.258333,-43.551111
1447,"Universidade de São Paulo","ESA","61269","Lychnophora granmogolensis",NA,"B. Loueille",-13.2658,-41.3042
1453,"Universidade de São Paulo","ESA","61196","Lychnophora uniflora",NA,"D. J. N. Hindi",-13.4129,-41.1905
1458,"Universidade de São Paulo","ESA","61365","Eremanthus harleyi",NA,"D. J. N. Hindi",-13.283,-41.511
1466,"Universidade de São Paulo","ESA","60976","Proteopsis argentea",NA,"B. Loueille",-17.708083,-44.191944
1469,"Universidade de São Paulo","ESA","61210","Lychnophora salicifolia",NA,"B. Loueille",-13.4129,-41.1905
1470,"Universidade de São Paulo","ESA","60112","Eremanthus glomerulatus",NA,"B. Loueille",-17.730028,-44.173611
