"taxa","suggested"
"Hololepis hatschbachii","Hololepis hatschbachii"
"Hololepis involucrata","Hololepis involucrata"
"Hololepis pedunculara","Hololepis pedunculata"
"Hololepis pedunculata","Hololepis pedunculata"
"Lychnocephalus cipoensis",NA
"Lychnocephalus sellowii",NA
"Lychnocephalus tomentosus","Lychnocephalus tomentosus"
"Lychnophora albertinioides","Lychnophora albertinioides"
"Lychnophora bahiensis","Lychnophora bahiensis"
"Lychnophora bishopii","Lychnophora bishopii"
"Lychnophora blanchetii","Lychnophora blanchetii"
"Lychnophora blanchetti","Lychnophora blanchetii"
"Lychnophora brunioides","Lychnophora brunioides"
"Lychnophora candelabrum","Lychnophora candelabrum"
"Lychnophora cipoensis","Lychnophora bahiensis"
"Lychnophora crispa","Lychnophora crispa"
"Lychnophora damazioi","Lychnophora damazioi"
"Lychnophora damozisi","Lychnophora damazioi"
"Lychnophora diamantinana","Lychnophora diamantinana"
"Lychnophora diamantiniana","Lychnophora diamantinana"
"Lychnophora ericoides leucopholis",NA
"Lychnophora ericoides","Lychnophora ericoides"
"Lychnophora gardneri","Lychnophora gardneri"
"Lychnophora granmogolense","Lychnophora granmogolensis"
"Lychnophora granmogolensi","Lychnophora granmogolensis"
"Lychnophora granmogolensis","Lychnophora granmogolensis"
"Lychnophora harleyi","Lychnophora harleyi"
"Lychnophora hatschbachii","Lychnophoriopsis hatschbachii"
"Lychnophora heterotheca","Lychnophora heterotheca"
"Lychnophora humillima","Lychnophora humillima"
"Lychnophora jeffreyi","Lychnophora jeffreyi"
"Lychnophora joliana","Lychnophora martiana"
"Lychnophora kingii","Lychnophora morii"
"Lychnophora liniflora","Lychnophora uniflora"
"Lychnophora luetzelburgii","Lychnophora luetzelburgii"
"Lychnophora marcgravii","Lychnophora markgravii"
"Lychnophora markgravii","Lychnophora markgravii"
"Lychnophora martiana","Lychnophora martiana"
"Lychnophora mello-barretoi","Lychnophora mello-barretoi"
"Lychnophora mellosilvae",NA
"Lychnophora montesclarensis",NA
"Lychnophora morii","Lychnophora morii"
"Lychnophora mutica","Lychnophora martiana"
"Lychnophora nanuzae","Lychnophora nanuzae"
"Lychnophora passerina","Lychnophora passerina"
"Lychnophora phylicaefolia","Lychnophora phylicifolia"
"Lychnophora phylicifolia","Lychnophora phylicifolia"
"Lychnophora pinaster","Lychnophora pinaster"
"Lychnophora platyneura","Lychnophora platyneura"
"Lychnophora pohlii","Lychnophora pohlii"
"Lychnophora prostrata","Lychnophora passerina"
"Lychnophora pseudovillosissima","Lychnophora villosissima"
"Lychnophora ramosissima","Lychnophora ramosissima"
"Lychnophora regis","Lychnophora regis"
"Lychnophora reticulata","Lychnophora reticulata"
"Lychnophora riedelii","Lychnophora riedelli"
"Lychnophora rosmarinifolia","Lychnophora rosmarinifolia"
"Lychnophora rupestris","Lychnophora rupestris"
"Lychnophora salicifolia","Lychnophora salicifolia"
"Lychnophora santosii","Lychnophora santosii"
"Lychnophora sartorii","Lychnophora santosii"
"Lychnophora sellowii","Lychnophora sellowii"
"Lychnophora sericea","Lychnophora sericea"
"Lychnophora souzae","Lychnophora souzae"
"Lychnophora spiciformis","Lychnophora salicifolia"
"Lychnophora staavioides","Lychnophora staavioides"
"Lychnophora syncephala","Lychnophora syncephala"
"Lychnophora tomentosa","Lychnophora tomentosa"
"Lychnophora tomentosus","Lychnophora tomentosa"
"Lychnophora trichocarpha","Lychnophora trichocarpha"
"Lychnophora triflora","Lychnophora triflora"
"Lychnophora undesignated",NA
"Lychnophora uniflora","Lychnophora uniflora"
"Lychnophora villosissima","Lychnophora villosissima"
"Lychnophorella bishopii","Lychnophora bishopii"
"Lychnophorella granmogolensis","Lychnophora granmogolensis"
"Lychnophorella jacobinensis",NA
"Lychnophorella leucodendron",NA
"Lychnophorella morii","Lychnophora morii"
"Lychnophorella regis","Lychnophora regis"
"Lychnophorella santosii","Lychnophora santosii"
"Lychnophorella sericea","Lychnophora sericea"
"Lychnophorella triflora","Lychnophora triflora"
"Lychnophoriopsis candelabrum","Lychnophoriopsis candelabrum"
"Lychnophoriopsis damazioi","Lychnophoriopsis damazioi"
"Lychnophoriopsis damazoi","Lychnophoriopsis damazioi"
"Lychnophoriopsis hatschbachii","Lychnophoriopsis hatschbachii"
"Lychnophoriopsis heterotheca","Lychnophoriopsis heterotheca"
"Maschalostachys markgrafii","Maschalostachys markgrafii"
"Maschalostachys mellosilvae",NA
"Minasia alpestris","Minasia alpestris"
"Minasia cabralensis","Minasia cabralensis"
"Minasia cipoensis","Mikania cipoensis"
"Minasia itacambiresis",NA
"Minasia lewinsohnii","Minasia lewinsohnii"
"Minasia lewinsonii","Minasia lewinsohnii"
"Minasia pereirae","Minasia pereirae"
"Minasia ramosa","Minasia ramosa"
"Minasia scapigera","Minasia scapigera"
"Minasia spelettiae","Minasia splettiae"
"Minasia splettiae","Minasia splettiae"
"Paralychnophora atkinsiae","Paralychnophora atkinsiae"
"Paralychnophora bicolor","Paralychnophora bicolor"
"Paralychnophora glaziouana","Paralychnophora glaziouana"
"Paralychnophora glaziovana","Paralychnophora glaziouana"
"Paralychnophora glazioviana","Paralychnophora glaziouana"
"Paralychnophora harleyi","Paralychnophora harleyi"
"Paralychnophora patriciana","Paralychnophora patriciana"
"Paralychnophora reflexoauriculata","Paralychnophora reflexoauriculata"
"Paralychnophora reflexo-auriculatus","Paralychnophora reflexoauriculata"
"Paralychnophora santosii","Paralychnophora santosii"
"Paralychnophora schwackei","Paralychnophora harleyi"
"Piptolepis brexoides","Piptolepis buxoides"
"Piptolepis buxoides","Piptolepis buxoides"
"Piptolepis campestris","Piptolepis campestris"
"Piptolepis ericoides","Piptolepis ericoides"
"Piptolepis gardneri","Piptolepis gardneri"
"Piptolepis glaziouana","Piptolepis glaziouana"
"Piptolepis imbricata","Piptolepis imbricata"
"Piptolepis leptospermoides","Piptolepis leptospermoides"
"Piptolepis martiana","Piptolepis martiana"
"Piptolepis monticola","Piptolepis monticola"
"Piptolepis oleaster","Piptolepis oleaster"
"Piptolepis pabstii",NA
"Piptolepis pseudomyrtus","Piptolepis pseudomyrtus"
"Piptolepis schultziana","Piptolepis schultziana"
"Pithecoseris pacourinioides","Pithecoseris pacourinoides"
"Pithecoseris pacourinoides","Pithecoseris pacourinoides"
"Proteopsis argenta","Proteopsis argentea"
"Proteopsis argentea","Proteopsis argentea"
"Proteopsis hermogenesii",NA
"Rolandra argentea","Rolandra argentea"
"Rolandra fruticosa","Rolandra fruticosa"
"Soaresia velutina","Soaresia velutina"
"Telmatophila scolymastrum","Telmatophila scolymastrum"
"Vanillosmopsis arborea","Vanillosmopsis arborea"
"Vanillosmopsis brasiliensis (garolu) shult bip.",NA
"Vanillosmopsis brasiliensis","Vanillosmopsis brasiliensis"
"Vanillosmopsis capitata","Vanillosmopsis capitata"
"Vanillosmopsis discolor","Vanillosmopsis discolor"
"Vanillosmopsis erythropappa","Vanillosmopsis erythropappa"
"Vanillosmopsis erythropappus","Vanillosmopsis erythropappa"
"Vanillosmopsis polycephala","Vanillosmopsis polycephala"
"Vinicia tomentosa","Vinicia tomentosa"
