taxa,suggested,corrected,srcs
Eremanthus erythropappa,Eremanthus erythropappus,Eremanthus erythropappus,The Plant List
Eremanthus erythropappus,Eremanthus erythropappus,Eremanthus erythropappus,The Plant List
Eremanthus glaziouana,NA,NA,
Eremanthus glomeratus,Eremanthus glomerulatus,Eremanthus glomeratus,The Plant List
Eremanthus glomerulatus,Eremanthus glomerulatus,Eremanthus glomerulatus,The Plant List
Eremanthus goyazensis,Eremanthus goyazensis,Eremanthus goyazensis,The Plant List
Eremanthus graciellae,Eremanthus graciellae,Eremanthus graciellae,The Plant List
Eremanthus harleyi,Eremanthus harleyi,Eremanthus harleyi,The Plant List
Eremanthus hatschbachii,Eremanthus hatschbachii,Eremanthus hatschbachii,The Plant List
Eremanthus incana,Eremanthus incanus,NA,
Eremanthus incanum,Eremanthus incanus,Eremanthus incanus,The Plant List
Eremanthus incanus,Eremanthus incanus,Eremanthus incanus,The Plant List
Eremanthus leucodendron,Eremanthus leucodendron,Eremanthus leucodendron,The Plant List
Eremanthus martii,Eremanthus pabstii,NA,
Eremanthus mattogrossensis,Eremanthus mattogrossensis,Eremanthus mattogrossensis,The Plant List
Eremanthus mollis,Eremanthus mollis,Eremanthus mollis,The Plant List
Eremanthus ovatifolius,Eremanthus ovatifolius,Eremanthus ovatifolius,Flora do Brasil
Eremanthus pabstii,Eremanthus pabstii,Eremanthus pabstii,The Plant List
Eremanthus panduraefolius,Eremanthus pandurifolius,Eremanthus cinctus,Flora do Brasil
Eremanthus pandurifolius,Eremanthus pandurifolius,Eremanthus cinctus,Flora do Brasil
Eremanthus pannosa,Eremanthus pannosus,Eremanthus mollis,Flora do Brasil
Eremanthus pannosus,Eremanthus pannosus,Eremanthus mollis,Flora do Brasil
Eremanthus patriciana,NA,NA,
Eremanthus plantaginifolius,Eremanthus plantaginifolius,Chresta plantaginifolia,Flora do Brasil
Eremanthus pohlii,Eremanthus pohlii,Eremanthus pohlii,The Plant List
Eremanthus polycephalus,Eremanthus polycephalus,Eremanthus polycephalus,The Plant List
Eremanthus pycnocephalus,Eremanthus pycnocephalus,Chresta pycnocephala,Flora do Brasil
Eremanthus reflexoauriculata,Eremanthus reflexo-auriculatus,Eremanthus reflexoauriculatus,The Plant List
Eremanthus reflexo-auriculatus,Eremanthus reflexo-auriculatus,Eremanthus reflexoauriculatus,The Plant List
Eremanthus reticulatus,Eremanthus auriculatus,Eremanthus reticulatus,comb. nov. 
Eremanthus rondoniensis,Eremanthus rondoniensis,Eremanthus rondoniensis,The Plant List
Eremanthus santosii,Eremanthus santosii,Eremanthus santosii,The Plant List
Eremanthus scapigerus,Eremanthus scapigerus,Chresta scapigera,Flora do Brasil
Eremanthus seidelii,Eremanthus seidelii,Eremanthus seidelii,The Plant List
Eremanthus sphaerocephalus,Eremanthus sphaerocephalus,Chresta sphaerocephala,Flora do Brasil
Eremanthus syncephalus,Eremanthus pycnocephalus,Eremanthus syncephalus,comb. nov. 
Eremanthus undesignated,NA,NA,
Eremanthus uniflorus,Eremanthus uniflorus,Eremanthus uniflorus,The Plant List
Eremanthus veadeiroensis,Eremanthus veadeiroensis,Eremanthus veadeiroensis,The Plant List
Gorceixia decurrens,Gorceixia decurrens,Gorceixia decurrens,The Plant List
Haplostephium passerina,Haplostephium passerina,Lychnophora passerina,The Plant List
Heterocoma albida,Heterocoma albida,Heterocoma albida,The Plant List
Heterocoma ekmaniana,Heterocoma ekmaniana,Heterocoma ekmaniana,Flora do Brasil
Heterocoma ekmanianum,Heterocoma ekmaniana,Heterocoma ekmaniana,Flora do Brasil
Heterocoma erecta,Heterocoma erecta,Heterocoma erecta,Flora do Brasil
Heterocoma gracilis,Heterocoma gracilis,Heterocoma gracilis,Flora do Brasil
Heterocoma lanuginosa,Heterocoma lanuginosa,Heterocoma lanuginosa,Flora do Brasil
Heterocoma robinsoniana,Heterocoma robinsoniana,Heterocoma robinsoniana,Flora do Brasil
Hololepis hatschbachii,Hololepis hatschbachii,Hololepis hatschbachii,The Plant List
Hololepis involucrata,Hololepis involucrata,Hololepis pedunculata,The Plant List
Hololepis pedunculara,Hololepis pedunculata,Hololepis pedunculata,The Plant List
Hololepis pedunculata,Hololepis pedunculata,Hololepis pedunculata,The Plant List
Lychnocephalus cipoensis,NA,NA,
Lychnocephalus sellowii,NA,Lychnocephalus sellowii,comb. nov. 
Lychnocephalus tomentosus,Lychnocephalus tomentosus,Lychnocephalus tomentosa,The Plant List
Lychnophora albertinioides,Lychnophora albertinioides,Lychnophora albertinioides,The Plant List
Lychnophora bahiensis,Lychnophora bahiensis,Lychnophora bahiensis,The Plant List
Lychnophora bishopii,Lychnophora bishopii,Lychnophora bishopii,The Plant List
Lychnophora blanchetii,Lychnophora blanchetii,Lychnophora blanchetii,The Plant List
Lychnophora blanchetti,Lychnophora blanchetii,Lychnophora blanchetii,The Plant List
Lychnophora brunioides,Lychnophora brunioides,Lychnophora brunioides,The Plant List
Lychnophora candelabrum,Lychnophora candelabrum,Lychnophora candelabrum,Flora do Brasil
Lychnophora cipoensis,Lychnophora bahiensis,NA,
Lychnophora crispa,Lychnophora crispa,Lychnophora crispa,The Plant List
Lychnophora damazioi,Lychnophora damazioi,Lychnophora damazioi,Flora do Brasil
Lychnophora damozisi,Lychnophora damazioi,Lychnophora damazioi,Flora do Brasil
Lychnophora diamantinana,Lychnophora diamantinana,Lychnophora diamantinana,The Plant List
Lychnophora diamantiniana,Lychnophora diamantinana,Lychnophora diamantinana,The Plant List
Lychnophora ericoides leucopholis,NA,NA,
Lychnophora ericoides,Lychnophora ericoides,Lychnophora ericoides,The Plant List
Lychnophora gardneri,Lychnophora gardneri,Lychnophora gardneri,Flora do Brasil
Lychnophora granmogolense,Lychnophora granmogolensis,Lychnophora granmogolensis,The Plant List
Lychnophora granmogolensi,Lychnophora granmogolensis,Lychnophora granmogolensis,The Plant List
Lychnophora granmogolensis,Lychnophora granmogolensis,Lychnophora granmogolensis,The Plant List
Lychnophora harleyi,Lychnophora harleyi,Lychnophora harleyi,The Plant List
Lychnophora hatschbachii,Lychnophoriopsis hatschbachii,Lychnophora hatschbachii,Flora do Brasil
Lychnophora heterotheca,Lychnophora heterotheca,NA,
Lychnophora humillima,Lychnophora humillima,Lychnophora humillima,The Plant List
Lychnophora jeffreyi,Lychnophora jeffreyi,Lychnophora jeffreyi,The Plant List
Lychnophora joliana,Lychnophora martiana,Unresolved,The Plant List
Lychnophora kingii,Lychnophora morii,NA,
Lychnophora liniflora,Lychnophora uniflora,NA,
Lychnophora luetzelburgii,Lychnophora luetzelburgii,Lychnophora salicifolia,The Plant List
Lychnophora marcgravii,Lychnophora markgravii,Lychnophora markgravii,The Plant List
