"grid_size","median","mean"
0.1,0.5,0.403954217999766
0.2,0.51,0.465449202485139
0.3,0.575367647058824,0.502826745311333
0.4,0.615384615384615,0.531599992085917
0.5,0.652173913043478,0.544298216818685
0.6,0.620192307692308,0.539857514815839
0.7,0.666666666666667,0.594638367358154
0.8,0.666666666666667,0.572823683912388
0.9,0.6125,0.567998160290324
1,0.696969696969697,0.620660496413597
1.1,0.709677419354839,0.65455972071956
1.2,0.689903846153846,0.617629646250974
1.3,0.788888888888889,0.703960135033656
1.4,0.711462450592885,0.672166658680244
1.5,0.768888888888889,0.706717553180615
1.6,0.738636363636364,0.618135978933968
1.7,0.84971098265896,0.775401172462804
1.8,0.758620689655172,0.693734137636634
1.9,0.692307692307692,0.665989096131256
2,0.825396825396825,0.718460330352344
2.1,0.772280701754386,0.702670974982505
2.2,0.893009442583003,0.765329217869166
2.3,0.841127098321343,0.726083326126319
2.4,0.772005772005772,0.725740277423354
2.5,0.876862380163046,0.719449888103686
2.6,0.898876404494382,0.831566785361601
2.7,0.866527760754994,0.777479150287859
2.8,0.825396825396825,0.779442966872787
2.9,0.75,0.759483549800525
3,0.727272727272727,0.731002044228349
3.1,0.9,0.851276947259551
3.2,0.777777777777778,0.652732034033513
3.3,0.844290657439446,0.791577937528436
3.4,0.889064697609001,0.844413360278036
3.5,0.902439024390244,0.903882290678597
3.6,0.900806350182372,0.827875463277737
3.7,0.901262711152198,0.903503435241215
3.8,0.892733564013841,0.836058010048865
3.9,0.868421052631579,0.831575943343371
4,0.90010222098318,0.824550145837969
4.1,0.892827772556391,0.893122625880425
4.2,0.889705882352941,0.864635073747124
4.3,0.900866393068855,0.859908992900132
4.4,0.877151826680926,0.832616576045098
4.5,0.878180330941872,0.818857997528375
4.6,0.910584531608951,0.902031171230527
4.7,0.902439024390244,0.859928346781079
4.8,0.913607083740502,0.861138973709108
4.9,0.912757973733584,0.869748937917736
5,0.907252440725244,0.910099378901132
