"grid_size","median","mean"
0.1,0.5,0.459884214924788
0.2,0.545454545454545,0.48299576710548
0.3,0.6,0.50783292203888
0.4,0.625,0.552362083603335
0.5,0.638344226579521,0.559361678406321
0.6,0.656862745098039,0.560797708872299
0.7,0.666666666666667,0.571408107799743
0.8,0.692307692307692,0.587942626735489
0.9,0.727272727272727,0.650263871314462
1,0.75,0.644837073728284
1.1,0.726539589442815,0.652236988975943
1.2,0.705882352941176,0.678252129574219
1.3,0.75,0.739904659949311
1.4,0.75,0.709211672913912
1.5,0.750247402276101,0.684369321014456
1.6,0.736111111111111,0.635324250063558
1.7,0.776871756856931,0.658205143737949
1.8,0.825619834710744,0.798272514568189
1.9,0.666666666666667,0.670487976431264
2,0.794573643410853,0.692702912088585
2.1,0.84251968503937,0.752384588492373
2.2,0.666666666666667,0.604345123366934
2.3,0.870967741935484,0.822175666730862
2.4,0.766402714932127,0.709850404374851
2.5,0.826923076923077,0.636544745625575
2.6,0.866279069767442,0.835527603511778
2.7,0.855670103092784,0.769744906303419
2.8,0.844961240310077,0.754993165780992
2.9,0.833333333333333,0.784109566261046
3,0.791368515205724,0.714879761702868
3.1,0.877718360071301,0.787369093748329
3.2,0.861313868613139,0.832378043941492
3.3,0.859154929577465,0.857049377285838
3.4,0.870910973084886,0.746065007683993
3.5,0.883599486704213,0.673399345692131
3.6,0.887676657222857,0.761309596182749
3.7,0.899497487437186,0.857417176756308
3.8,0.872865758145363,0.743653158992458
3.9,0.872186147186147,0.77647329494578
4,0.888888888888889,0.731929585177948
4.1,0.923853923853924,0.785007054690219
4.2,0.884737129343278,0.786210613563236
4.3,0.871519978217957,0.680463227619098
4.4,0.910543130990415,0.745399606164319
4.5,0.904761904761905,0.845721957923242
4.6,0.888888888888889,0.880176984023714
4.7,0.88953488372093,0.854701396873765
4.8,0.917378917378917,0.765067961869053
4.9,0.918478260869565,0.765478662208606
5,0.926517382921088,0.741954597812603
