"grid_size","median","mean"
0.1,0.5,0.422378349397112
0.2,0.5,0.47379373748836
0.3,0.6,0.544399935865952
0.4,0.666666666666667,0.550430018894967
0.5,0.666666666666667,0.577374664111343
0.6,0.75,0.626289408571239
0.7,0.714285714285714,0.626660508742255
0.8,0.733333333333333,0.611793371835102
0.9,0.666666666666667,0.633250017368972
1,0.822134387351779,0.725770424210529
1.1,0.794736842105263,0.720099554484116
1.2,0.797435897435897,0.678141172481696
1.3,0.828571428571429,0.721847830546752
1.4,0.794871794871795,0.701627907926502
1.5,0.833333333333333,0.778845705292319
1.6,0.818181818181818,0.633885038923305
1.7,0.830143540669856,0.816633245488522
1.8,0.8,0.691259863992521
1.9,0.834426229508197,0.7542295574176
2,0.864406779661017,0.805329148137937
2.1,0.820855614973262,0.787555573002959
2.2,0.864406779661017,0.794374686920762
2.3,0.851851851851852,0.789857208127381
2.4,0.836734693877551,0.779371205314506
2.5,0.852624920936116,0.710135198169872
2.6,0.905982905982906,0.779970949568859
2.7,0.87012987012987,0.844658702203253
2.8,0.891891891891892,0.856091456241068
2.9,0.845945945945946,0.837610997092063
3,0.854838709677419,0.770813558173034
3.1,0.890909090909091,0.863588282603808
3.2,0.888611469072165,0.76617945466572
3.3,0.891050583657587,0.852057517002766
3.4,0.891050583657587,0.827336555496708
3.5,0.916666666666667,0.901446270211594
3.6,0.891891891891892,0.794403522338368
3.7,0.92081974848626,0.920963247928622
3.8,0.917724152277928,0.909069970885253
3.9,0.915109989181392,0.90941539415042
4,0.90958174904943,0.8923187049543
4.1,0.929337231968811,0.923323994651985
4.2,0.88,0.892195807495091
4.3,0.88,0.8205814915828
4.4,0.875747607655502,0.860496843217459
4.5,0.896916962494212,0.865115863279294
4.6,0.878378378378378,0.874514093579718
4.7,0.88,0.888948810351653
4.8,0.938995215311005,0.914993492141683
4.9,0.938995215311005,0.919510467395233
5,0.938995215311005,0.925305149822707
