"","37","40","79","80","151","152","153","154","191","192","193","194","229","230","231","232","233","269","270","271","272","273","309","310","311","312","341","349","350","351","352","353","354","381","382","389","390","391","392","393","421","422","429","430","431","433","434","441","459","460","461","462","469","470","471","472","473","474","499","500","501","502","509","510","511","512","539","540","541","542","547","548","549","550","551","552","553","581","582","587","588","589","590","591","626","627","628","629","630","631","632","666","667","668","669","670","671","672","701","702","703","706","707","708","709","741","742","743","744","747","748","749","750","781","782","783","784","786","787","788","789","790","821","822","823","824","825","826","827","828","829","862","863","864","865","866","867","868","902","906","907","908"
"37",0,198247.749031853,147796.645368772,208911.693605146,442795.969097835,385057.862205684,330395.721815626,280613.095435949,476043.059596512,422970.68348561,373986.977162895,330912.818668114,622243.454247864,567667.908259768,515717.985748108,467270.434856753,423529.059141186,659620.214939574,608510.902747443,560458.323814032,516316.824688625,477173.212405967,701287.007307841,653545.473032467,609149.951962844,568884.529049805,1176192.57393151,746526.683240698,701966.248154201,660921.097616312,624085.375802051,592245.197126184,566244.027384316,1206612.59851204,1150142.72378948,794730.154379141,753121.25919267,715104.162715961,681280.591134894,652303.353449907,1239812.21009239,1185053.16238451,845391.415461891,806491.247513885,771191.844443756,713482.282078834,692147.898468639,2463624.97772916,1384796.76934345,1329701.29914661,1275574.94016,1222546.68224972,898095.443533356,861665.583493574,828798.439900702,799933.43903224,775517.730332506,755982.644096247,1419735.91889415,1366183.62508136,1313692.03143406,1262393.729685,952504.005014321,918319.929425933,887629.130032785,860805.485513666,1456830.79686369,1404827.03154612,1353965.21596353,1304379.21540401,1081596.69700376,1043575.75742978,1008342.00081109,976197.452648427,947456.759182725,922438.290956541,901452.146294733,1396208.49288974,1348303.97121875,1134789.71842581,1098706.4439269,1065385.47238754,1035093.78856543,1008104.66984234,1226080.1983593,1189301.07560541,1155015.36429444,1123451.56962126,1094845.31335115,1069434.1196647,1047450.69690824,1280043.7543291,1244958.31085747,1212339.08060497,1182390.38872679,1155320.11487686,1131335.06245542,1110635.27628307,1533098.66288032,1489967.50163235,1448455.46301975,1335118.42993686,1301615.13336845,1270540.96015174,1242078.43432679,1581628.8559277,1539981.67418972,1499973.63090656,1461739.58948731,1359147.22976696,1329506.38270783,1302413.42509902,1278030.58289161,1631397.59707136,1591176.90462124,1552606.81522937,1515813.60158316,1448094.14624121,1417448.7031534,1389138.81507137,1363310.1810604,1340106.45312149,1682295.52683149,1643443.40106633,1606246.00685536,1570821.1709238,1537291.69251966,1505784.43075574,1476429.08088779,1449356.61378426,1424697.36839432,1696682.73973156,1660794.32706011,1626668.20234576,1594417.7832662,1564159.33766801,1536010.81796276,1510090.42732481,1750806.74539328,1623145.63896925,1596127.22217656,1571281.08604727
"40",198247.749031853,0,93614.5190276539,66359.760417427,625784.187421208,563681.284488788,502550.828513033,442795.969097835,649463.568161559,589971.646426611,531981.672716142,476043.059596512,796212.500830738,736913.099364962,678811.473647143,622243.454247864,567667.908259767,825460.058977962,768536.590974698,713129.186597753,659620.214939574,608510.902747442,858829.928704481,804386.307285531,751737.169080841,701287.007307841,1354685.81378894,895862.267707976,843924.572168147,794010.625381869,746526.683240698,701966.2481542,660921.097616311,1380821.13736682,1322056.70508062,936123.222252826,886658.81988988,839396.72492787,794730.154379141,753121.25919267,1409560.97202755,1352179.91435478,979215.336013717,932150.336372673,887418.797768894,806491.247513884,771191.844443756,2651426.02791515,1554856.65553922,1497464.41700821,1440749.93696223,1384796.76934345,1024782.22167149,980015.963221384,937672.707341707,898095.443533356,861665.583493574,828798.439900702,1585669.70082248,1529573.86840948,1474233.08043506,1419735.91889415,1072509.19378462,1029925.47620138,989819.34038713,952504.005014321,1618578.97527132,1563805.05579398,1509858.26928629,1456830.79686369,1209659.4474648,1164888.27630011,1122121.35863928,1081596.69700376,1043575.75742978,1008342.00081109,976197.452648428,1547478.06566336,1495921.55868176,1257144.39695266,1214238.9766802,1173380.30634157,1134789.71842581,1098706.4439269,1349269.64443283,1306261.45196154,1265135.09588942,1226080.1983593,1189301.07560541,1155015.36429444,1123451.56962126,1398174.90324687,1356834.01201544,1317398.18650369,1280043.7543291,1244958.31085747,1212339.08060497,1182390.38872679,1670927.54478644,1623696.47488165,1577715.90923492,1448455.46301975,1408705.95772588,1370872.56599782,1335118.42993686,1715185.63460642,1669344.14009021,1624788.87911876,1581628.8559277,1461739.58948731,1425422.56333163,1391172.93447057,1359147.22976696,1760806.80984138,1716320.89535341,1673149.60085059,1631397.59707136,1552606.81522937,1515813.60158316,1480929.96228023,1448094.14624121,1417448.7031534,1807688.37625985,1764521.11384912,1722690.16680618,1682295.52683149,1643443.40106633,1606246.00685536,1570821.1709238,1537291.69251966,1505784.43075574,1813847.78446693,1773312.23577517,1734223.78290194,1696682.73973156,1660794.3270601,1626668.20234576,1594417.7832662,1864212.01127405,1716165.67539349,1683271.74762907,1652229.57284301
"79",147796.645368772,93614.5190276539,0,65977.7147760378,543369.677027679,479771.670933244,416877.286979449,355060.876894286,562817.178744699,501809.529852991,442178.760312123,384566.138123957,708975.742791329,648486.672659004,589122.989899746,531262.322102136,475453.952338891,735820.033600657,677851.627815966,621417.629699414,566976.642507233,515161.133400077,767461.167486998,712192.197552105,658821.879338431,607850.765989065,1267804.07134816,803333.307368738,750826.806034571,700518.616736125,652917.314896516,608658.540248391,568523.663200676,1292406.71946785,1233024.91204132,842897.205660079,793129.014010526,745789.091981382,701369.534393082,660460.045558277,1319854.79397376,1261902.74813186,885659.019595829,838544.761662869,794023.145392484,714671.233494889,680971.580437587,2568371.03985916,1465103.08734679,1407202.2574503,1349975.25084593,1293511.79928167,931179.054765646,886596.515681741,844714.111356199,805953.11491173,770784.773865633,739721.857885586,1494944.20845107,1438388.28786408,1382593.95931541,1327657.54516987,979073.435609163,936879.568345276,897446.599160955,861154.094174953,1527050.38204123,1471872.80987926,1417538.99209626,1364150.059912,1116062.25680795,1071441.44788325,1029011.43642247,989054.453576464,951882.203550806,917833.301130469,887267.583802151,1454643.23039266,1402806.76147455,1163690.33525554,1121081.37801268,1080710.5449173,1042838.03453796,1007745.77871184,1255811.27717423,1213068.02857289,1172367.7331297,1133930.64489955,1097994.70577924,1064813.39506868,1034651.97070784,1304954.51513333,1263990.98748689,1225094.4622334,1188468.15288643,1154328.41112757,1122902.27440733,1094423.72774798,1577348.99987204,1530082.01056341,1484136.15538236,1355553.27982853,1316280.55336986,1279084.14934043,1244150.55613051,1621571.46186517,1575770.07590148,1531330.01002786,1488373.51922528,1369780.89811927,1334184.17121082,1300831.55224914,1269900.10083141,1667239.03637457,1622865.01064686,1579883.80552448,1538412.47872386,1460510.55915963,1424356.25539626,1390263.19917129,1358386.84515074,1328886.94916934,1714236.76983555,1671248.44055622,1629676.56990568,1589632.6054105,1551235.17908513,1514609.81125261,1479888.35155602,1447208.10254327,1416710.5735839,1720812.23843628,1680598.75490661,1641923.95428316,1604899.38123171,1569642.10616435,1536274.08693478,1504921.25783355,1771457.88096841,1625513.30369953,1593423.48187468,1563318.23905436
"80",208911.693605146,66359.760417427,65977.7147760378,0,607450.181478202,543369.677027677,479771.670933243,416877.286979447,624798.337643205,562817.178744699,501809.529852989,442178.760312122,770324.952043377,708975.742791329,648486.672659003,589122.989899746,531262.322102134,794987.074399602,735820.033600657,677851.627815963,621417.629699414,566976.642507232,824246.749690545,767461.167486998,712192.197552103,658821.879338432,1328989.06112429,857634.262983408,803333.307368738,750826.80603457,700518.616736125,652917.314896516,608658.540248391,1352347.99848905,1292406.71946785,894688.335614849,842897.205660079,793129.014010525,745789.091981382,701369.534393082,1378470.19519553,1319854.79397376,934973.866624038,885659.019595829,838544.761662868,752554.67796519,714671.23349489,2631461.10348983,1523600.65625718,1465103.08734679,1407202.2574503,1349975.25084593,978092.374757887,931179.054765646,886596.515681739,844714.1113562,805953.11491173,770784.773865633,1552178.20131142,1494944.20845107,1438388.28786408,1382593.95931541,1023686.66696058,979073.435609163,936879.568345275,897446.599160956,1582983.19945832,1527050.38204123,1471872.80987926,1417538.99209625,1162621.42351262,1116062.25680795,1071441.44788325,1029011.43642247,989054.453576464,951882.203550806,917833.301130469,1507503.17482294,1454643.23039266,1208300.4437997,1163690.33525554,1121081.37801268,1080710.5449173,1042838.03453796,1300395.80640021,1255811.27717423,1213068.02857289,1172367.7331297,1133930.64489955,1097994.70577924,1064813.39506868,1347796.35358311,1304954.51513333,1263990.98748689,1225094.4622334,1188468.15288643,1154328.41112757,1122902.27440733,1625821.61073676,1577348.99987204,1530082.01056341,1396726.95634428,1355553.27982853,1316280.55336986,1279084.14934043,1668621.77833013,1621571.46186517,1575770.07590148,1531330.01002786,1407451.24466115,1369780.89811927,1334184.17121082,1300831.55224914,1712897.34136662,1667239.03637456,1622865.01064686,1579883.80552448,1498576.68872753,1460510.55915963,1424356.25539626,1390263.19917129,1358386.84515074,1758537.38068538,1714236.76983555,1671248.44055622,1629676.56990568,1589632.6054105,1551235.17908513,1514609.81125261,1479888.35155602,1447208.10254327,1762458.79046093,1720812.23843628,1680598.75490661,1641923.95428316,1604899.38123171,1569642.10616435,1536274.08693478,1811807.87894175,1659472.33438414,1625513.30369953,1593423.48187468
"151",442795.969097835,625784.187421208,543369.677027679,607450.181478202,0,65746.3126067391,131492.568864681,197238.712413024,66366.6341561564,93374.899746028,147179.759329755,207926.698830833,186659.989229598,148069.555616155,132735.834255235,148069.555616154,186659.989229597,238393.752398533,209620.65144636,199107.735862571,209620.651446359,238393.752398533,296026.885783601,273438.643242384,265482.473385973,273438.643242384,733444.394936705,356713.017122567,338244.635251072,331860.180017884,338244.635251072,356713.017122567,385532.555272752,765129.883567847,710161.28149578,419129.629706983,403564.530010198,398240.987678008,403564.530010197,419129.629706982,801056.24213136,748858.489441928,482607.172023299,469185.1848466,464625.026956462,482607.172023298,504183.68326754,2025724.06534028,945320.693127864,892155.344277551,840680.780746907,791227.35807295,546777.567224644,534997.271790185,531012.427057446,534997.271790185,546777.567224644,565866.60324144,983360.238155983,932499.420744485,883506.887697709,836711.181427789,611423.922827213,600939.14034804,597403.315743471,600939.14034804,1024274.51994004,975679.8879052,929092.766222317,884830.592935512,712912.334253827,691853.977504986,676410.936325468,666973.465304192,663797.819280162,666973.465304192,676410.936325468,977053.022452829,935179.69394266,774997.12166205,755723.618478011,741650.155425225,733076.36827719,730196.062381658,860024.160758361,837744.366862313,819997.077937036,807081.46598667,799231.888073667,796598.168156639,799231.888073667,921709.671706899,901016.64565094,884587.32313862,872662.661584888,865428.968296111,863004.25805499,865428.968296111,1132099.33258151,1096477.73040134,1063594.29912566,984009.712487129,964711.592481574,949430.654211668,938363.280379502,1186695.58693635,1152866.72689581,1121733.68880213,1093526.98131627,1028751.60763602,1014479.46198641,1004160.81197654,997918.379119482,1242434.33149949,1210266.56216658,1180741.58947688,1154062.4954762,1110041.93656553,1093076.92229369,1079697.50027348,1070038.2793251,1064200.63605035,1299169.27011963,1268540.79343336,1240494.85523047,1215210.50130983,1192863.55304925,1173621.99370435,1157640.83333303,1145056.71883842,1135982.64927968,1327575.03364134,1300891.5528563,1276883.79787839,1255705.44806705,1237501.95226292,1222406.36765168,1210535.09195899,1387273.00147926,1301638.45910023,1287343.90630475,1276115.0980722
"152",385057.862205684,563681.284488788,479771.670933244,543369.677027677,65746.3126067391,0,65746.3126067391,131492.568864681,93374.8997460282,66366.6341561564,93374.8997460279,147179.759329756,237425.413380263,186659.989229597,148069.555616154,132735.834255235,148069.555616154,279850.190640785,238393.752398533,209620.651446359,199107.735862571,209620.651446359,330258.3308752,296026.885783601,273438.643242384,265482.473385973,792323.535556236,385532.555272752,356713.017122567,338244.635251072,331860.180017884,338244.635251072,356713.017122567,821616.269713047,765129.883567848,443860.083152168,419129.629706983,403564.530010197,398240.987678008,403564.530010197,855048.353472712,801056.242131361,504183.68326754,482607.172023299,469185.1848466,469185.1848466,482607.172023298,2088651.68794989,999906.907940786,945320.693127865,892155.344277549,840680.780746908,565866.60324144,546777.567224644,534997.271790185,531012.427057447,534997.271790185,546777.567224644,1035813.90597541,983360.238155983,932499.420744484,883506.88769771,628509.937077107,611423.922827213,600939.140348039,597403.315743471,1074604.09090574,1024274.51994004,975679.8879052,929092.766222316,739106.078525177,712912.334253827,691853.977504986,676410.936325468,666973.465304192,663797.819280162,666973.465304192,1021337.83067163,977053.022452829,799094.380493622,774997.12166205,755723.618478011,741650.155425225,733076.36827719,886494.652414492,860024.160758362,837744.366862313,819997.077937036,807081.46598667,799231.888073666,796598.16815664,946386.630426734,921709.671706899,901016.64565094,884587.32313862,872662.661584888,865428.968296111,863004.25805499,1170208.84640574,1132099.3325815,1096477.73040134,1007093.9789395,984009.712487127,964711.592481573,949430.654211668,1222996.35308815,1186695.58693635,1152866.72689581,1121733.68880213,1046815.45768299,1028751.60763602,1014479.46198641,1004160.81197654,1277044.97254723,1242434.33149949,1210266.56216658,1180741.58947688,1130430.99865867,1110041.93656553,1093076.92229369,1079697.50027348,1070038.2793251,1332201.94346216,1299169.27011963,1268540.79343336,1240494.85523047,1215210.50130983,1192863.55304924,1173621.99370435,1157640.83333303,1145056.71883842,1356776.17160425,1327575.03364134,1300891.5528563,1276883.79787839,1255705.44806705,1237501.95226292,1222406.36765168,1415149.27586585,1318898.96087689,1301638.45910023,1287343.90630475
"153",330395.721815626,502550.828513033,416877.286979449,479771.670933243,131492.568864681,65746.3126067391,0,65746.3126067391,147179.759329755,93374.8997460291,66366.6341561564,93374.8997460279,294127.75559815,237425.413380265,186659.989229597,148069.555616155,132735.834255235,329233.00928763,279850.190640786,238393.752398533,209620.65144636,199107.735862571,372940.402615013,330258.3308752,296026.8857836,273438.643242384,852154.128248638,422590.65375453,385532.555272752,356713.017122567,338244.635251072,331860.180017884,338244.635251072,879327.746769426,821616.269713048,476330.357471879,443860.083152168,419129.629706982,403564.530010198,398240.987678008,910515.425720682,855048.353472712,532925.082508364,504183.68326754,482607.172023298,464625.026956462,469185.1848466,2151708.07705822,1055693.34270321,999906.907940786,945320.693127863,892155.34427755,591557.168584372,565866.60324144,546777.567224644,534997.271790185,531012.427057447,534997.271790185,1089630.14550777,1035813.90597541,983360.238155982,932499.420744484,651678.077785238,628509.937077107,611423.922827212,600939.140348039,1126435.80038437,1074604.09090574,1024274.51994004,975679.8879052,769911.10175838,739106.078525178,712912.334253827,691853.977504987,676410.936325468,666973.465304192,663797.819280162,1067733.8584493,1021337.83067163,827594.001037751,799094.380493622,774997.121662051,755723.618478011,741650.155425225,916792.762052511,886494.652414492,860024.160758362,837744.366862313,819997.077937037,807081.46598667,799231.888073667,974744.837910995,946386.630426734,921709.671706899,901016.64565094,884587.323138619,872662.661584888,865428.968296111,1210571.08247534,1170208.84640574,1132099.3325815,1033710.62013357,1007093.9789395,984009.712487127,964711.592481573,1261555.41033843,1222996.35308815,1186695.58693635,1152866.72689581,1068478.59490985,1046815.45768299,1028751.60763602,1014479.46198641,1313905.20256436,1277044.97254723,1242434.33149949,1210266.56216658,1154062.4954762,1130430.99865867,1110041.93656553,1093076.92229369,1079697.50027348,1367464.34896122,1332201.94346216,1299169.27011963,1268540.79343336,1240494.85523047,1215210.50130983,1192863.55304924,1173621.99370435,1157640.83333303,1388335.88455066,1356776.17160425,1327575.03364134,1300891.5528563,1276883.79787839,1255705.44806705,1237501.95226292,1445333.67205166,1339010.57747316,1318898.96087689,1301638.45910023
"154",280613.095435949,442795.969097835,355060.876894286,416877.286979447,197238.712413024,131492.568864681,65746.3126067391,0,207926.698830832,147179.759329757,93374.8997460291,66366.6341561564,353924.801105488,294127.755598151,237425.413380263,186659.989229597,148069.555616155,383492.105161941,329233.009287632,279850.190640784,238393.752398533,209620.65144636,421513.611892957,372940.402615014,330258.330875199,296026.885783601,912748.844947978,465925.49830371,422590.65375453,385532.555272752,356713.017122567,338244.635251072,331860.180017884,938037.976289103,879327.746769428,515078.647290411,476330.35747188,443860.083152167,419129.629706983,403564.530010198,967203.480684616,910515.425720683,567744.137114068,532925.082508365,504183.68326754,469185.1848466,464625.026956462,2214881.90256859,1112499.18451548,1055693.34270321,999906.907940785,945320.693127864,623033.037341591,591557.168584372,565866.603241439,546777.567224644,534997.271790185,531012.427057447,1144616.50508874,1089630.14550777,1035813.90597541,983360.238155983,680307.121049796,651678.077785238,628509.937077106,611423.922827213,1179571.36780803,1126435.80038437,1074604.09090574,1024274.51994004,804797.898235265,769911.101758381,739106.078525178,712912.334253827,691853.977504987,676410.936325468,666973.465304192,1115977.55665615,1067733.8584493,860058.291392535,827594.001037751,799094.380493622,774997.121662051,755723.618478011,950552.372431187,916792.762052511,886494.652414492,860024.160758362,837744.366862313,819997.077937036,807081.46598667,1006472.99780548,974744.837910995,946386.630426734,921709.671706899,901016.64565094,884587.323138619,872662.661584888,1252968.09276966,1210571.08247534,1170208.84640574,1063594.29912566,1033710.62013357,1007093.9789395,984009.712487128,1302171.89692083,1261555.41033843,1222996.35308815,1186695.58693635,1093526.98131627,1068478.59490985,1046815.45768299,1028751.60763602,1352830.88812476,1313905.20256436,1277044.97254723,1242434.33149949,1180741.58947688,1154062.4954762,1130430.99865867,1110041.93656553,1093076.92229369,1404788.32341944,1367464.34896122,1332201.94346216,1299169.27011963,1268540.79343336,1240494.85523047,1215210.50130983,1192863.55304924,1173621.99370435,1422096.90753956,1388335.88455066,1356776.17160425,1327575.03364134,1300891.5528563,1276883.79787839,1255705.44806705,1477684.50833707,1361846.83533347,1339010.57747316,1318898.96087689
"191",476043.059596512,649463.568161559,562817.178744699,624798.337643205,66366.6341561564,93374.8997460282,147179.759329755,207926.698830832,0,65619.8539342559,131239.644886503,196859.309861371,146948.81982121,93285.2952382133,66369.2000990789,93285.2952382112,146948.819821206,186475.931128086,148015.110262301,132741.101706414,148015.110262299,186475.931128084,238249.711708689,209585.481774551,199115.839229817,209585.48177455,705267.941025369,295912.338419939,273415.709552012,265493.545861727,273415.709552012,295912.338419939,330016.132429184,732162.236046795,674640.11137352,356620.390713427,338230.647571992,331874.353521852,338230.647571991,356620.390713426,763874.482068898,709067.783937175,419053.978239631,403557.771934855,398258.392800306,419053.97823963,443679.800179529,2007241.84818101,908959.923211766,853658.640842607,799832.675852899,747800.999199608,482545.251012706,469184.686727598,464645.79290129,469184.686727597,482545.251012705,504026.378631035,943791.946649537,890796.856201829,839492.255170277,790207.803239251,546727.19369774,535002.457964968,531036.681587315,535002.457964967,981861.931664985,931174.935665142,882355.115897629,835730.07338136,651449.996698274,628388.521979954,611383.587717441,600949.6608427,597431.185124006,600949.6608427,611383.587717441,927978.339465538,883887.473909198,712704.951764646,691747.059762729,676379.571496053,666989.107932389,663829.428225502,798789.719593293,774808.139485294,755629.614681116,741626.99038899,733097.009275766,730231.534000483,733097.009275767,859741.108880738,837571.930824796,819914.76602429,807065.937075708,799257.462702552,796637.623898834,799257.462702552,1077812.54615486,1040426.02180834,1005796.88787932,921446.287230415,900859.253833226,884515.750159478,872654.352576805,1131127.70358826,1095673.02026469,1062947.72195617,1033211.44198644,964568.021852314,949369.070312374,938361.882555037,931695.119468051,1185756.55182063,1152092.51716554,1121114.83110134,1093052.16450023,1046586.76250946,1028620.85664669,1014427.27264421,1004166.09653681,997958.716741348,1241526.46571081,1209521.24546683,1180148.77717777,1153610.42344458,1130106.08338437,1109828.734303,1092958.16625904,1079654.23128067,1070050.07788932,1267822.85075873,1239926.55887973,1214779.73807485,1192556.54737405,1173423.29880295,1157533.38973654,1145021.99028104,1326883.0476161,1237316.9269299,1222309.66905816,1210508.59861802
