country,major area,minor area,centroid (lat),centroid (long),distance (km)
Argentina,Buenos Aires,General Las Heras,-34.91199641,-58.99944564,21.2480457184
Argentina,Buenos Aires,General Lavalle,-36.64944408,-56.94879732,42.8049898991
Argentina,Buenos Aires,General Paz,-35.46820653,-58.39408078,29.7814150321
Argentina,Buenos Aires,General Pinto,-34.6647728,-62.03868888,35.1342530886
Argentina,Buenos Aires,General Pueyrredón,-37.96879359,-57.74484591,26.5099808088
Argentina,Buenos Aires,General Rodríguez,-34.65420615,-58.99179083,14.1201151851
Argentina,Buenos Aires,General San Martín,-34.55749826,-58.5647989,7.7233072326
Argentina,Buenos Aires,General Sarmiento,-34.52271347,-58.72533577,14.100559291
Argentina,Buenos Aires,General Viamonte,-34.99777559,-61.05231005,35.1164380099
Argentina,Buenos Aires,General Villegas,-34.77216199,-62.95700098,76.6725661951
Argentina,Buenos Aires,Guaminí,-36.891939,-62.41980629,51.2857868657
Argentina,Buenos Aires,Hipólito Yrigoyen,-36.25883382,-61.66203486,40.7847554797
Argentina,Buenos Aires,Junín,-34.54509555,-61.00771735,32.9454049585
Argentina,Buenos Aires,La Costa,-36.70848983,-56.72061665,46.1717950815
Argentina,Buenos Aires,La Matanza,-34.77334327,-58.62584265,16.6180224193
Argentina,Buenos Aires,La Plata,-35.0040484,-58.01879916,24.9840321633
Argentina,Buenos Aires,Lanús,-34.70990562,-58.39540736,6.0541562444
Argentina,Buenos Aires,Laprida,-37.5162553,-60.76564579,51.0419309964
Argentina,Buenos Aires,Las Flores,-36.0205912,-59.17973043,51.6066446608
Argentina,Buenos Aires,Leandro N. Alem,-34.49926515,-61.61374326,33.9179344529
Argentina,Buenos Aires,Lincoln,-35.07164672,-61.68380606,58.4776263503
Argentina,Buenos Aires,Lobería,-38.09239104,-58.69417537,55.7851198724
Argentina,Buenos Aires,Lobos,-35.22235018,-59.15231167,37.104320662
Argentina,Buenos Aires,Lomas de Zamora,-34.75867352,-58.42486248,8.0030308402
Argentina,Buenos Aires,Luján,-34.57268809,-59.16318066,26.4021719537
Argentina,Buenos Aires,Magdalena,-35.29969989,-57.55551149,44.5685464088
Argentina,Buenos Aires,Maipú,-36.88955206,-57.58972592,38.1423159322
Argentina,Buenos Aires,Mar Chiquita,-37.50073421,-57.65194957,40.9879661739
Argentina,Buenos Aires,Marcos Paz,-34.81701183,-58.84950081,18.2285657079
Argentina,Buenos Aires,Mercedes,-34.70090926,-59.42778649,28.1447004094
Argentina,Buenos Aires,Merlo,-34.71464844,-58.7423547,11.3439099655
Argentina,Buenos Aires,Monte Hermoso,-38.96395402,-61.28805082,17.7822960616
Argentina,Buenos Aires,Monte,-35.51332021,-58.77327942,33.7262515245
Argentina,Buenos Aires,Morón,-34.63604624,-58.64893993,8.4387037597
Argentina,Buenos Aires,Moreno,-34.61517549,-58.81128212,11.3726214303
Argentina,Buenos Aires,Navarro,-35.03341349,-59.43483447,39.4893672648
Argentina,Buenos Aires,Necochea,-38.25773336,-59.16829603,70.9672056338
Argentina,Buenos Aires,Nueve de Julio,-35.48308011,-60.97509901,51.7066133894
Argentina,Buenos Aires,Olavarría,-36.85720991,-60.67493668,67.4873766913
Argentina,Buenos Aires,Patagones,-40.1902147,-62.84234352,106.911377077
Argentina,Buenos Aires,Pehuajó,-35.88514025,-61.92697734,47.2915081746
Argentina,Buenos Aires,Pellegrini,-36.27182124,-63.22652091,45.5243748564
Argentina,Buenos Aires,Pergamino,-33.83476382,-60.54855438,43.4781765664
Argentina,Buenos Aires,Pila,-36.20477701,-58.34520523,44.9446806713
Argentina,Buenos Aires,Pilar,-34.45418623,-58.90764297,15.6918739495
