gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	recordedByID	identifiedByID
1096897354																										S:VascularPlants:S15-24219													2018-04-16T17:16:19+02:00															PhysicalObject		urn:lsid:biocol.org:col:15668			S	VascularPlants			preservedspecimen				S:VascularPlants:S15-24219	S15-24219	III 1219	A. F. Regnell										Internationella herbariet													Trimezia lutea (Klatt) R. C. Foster, by J. Lovo 2015					III 1219	1870-02-23																	South and Central America, Caribbean & Antarctica; Brazil; Minas Gerais	South and Central America, Caribbean & Antarctica				Brazil	BR	Minas Gerais			Prov. Minas Gereas.	Prov. Minas Gereas.																																																																	Trimezia lutea (Klatt) R. C. Foster							Plantae;Magnoliophyta;Asparagales;Iridaceae;Trimezia	Plantae	Magnoliophyta		Asparagales	Iridaceae	Trimezia		lutea				(Klatt) R. C. Foster							
1096897351																										S:VascularPlants:S15-24222													2018-04-16T17:16:19+02:00															PhysicalObject		urn:lsid:biocol.org:col:15668			S	VascularPlants			preservedspecimen				S:VascularPlants:S15-24222	S15-24222	s.n.	Ernst Hemmendorff										Internationella herbariet													Trimezia martinicensis (Jacq.) Herb., by J. Lovo 2015					s.n.	1901-04-19																	South and Central America, Caribbean & Antarctica; Brazil; São Paulo	South and Central America, Caribbean & Antarctica				Brazil	BR	São Paulo			Bras. S. Paulo, Santos, Astú ?	Bras. S. Paulo, Santos, Astú ?																																																																	Trimezia martinicensis (Jacq.) Herb.							Plantae;Magnoliophyta;Asparagales;Iridaceae;Trimezia	Plantae	Magnoliophyta		Asparagales	Iridaceae	Trimezia		martinicensis				(Jacq.) Herb.							
1096897350																										S:VascularPlants:S15-24228													2019-09-20T15:39:31+02:00															PhysicalObject		urn:lsid:biocol.org:col:15668			S	VascularPlants			preservedspecimen				S:VascularPlants:S15-24228	S15-24228	4547	Hj. Mosén										Internationella herbariet													Lansbergia; Trimezia, by J. Lovo 2015					4547	1876-03-10																	South and Central America, Caribbean & Antarctica; Brazil; Minas Gerais	South and Central America, Caribbean & Antarctica				Brazil	BR	Minas Gerais			Prov. Minas Geraes. Serra de Caldas.	Prov. Minas Geraes. Serra de Caldas.																																																																	Trimezia							Plantae;Magnoliophyta;Asparagales;Iridaceae	Plantae	Magnoliophyta		Asparagales	Iridaceae	Trimezia													
1096897349																										S:VascularPlants:S15-24212													2018-04-16T17:16:19+02:00															PhysicalObject		urn:lsid:biocol.org:col:15668			S	VascularPlants			preservedspecimen				S:VascularPlants:S15-24212	S15-24212	I 434	A. F. Regnell										Internationella herbariet													Trimezia juncifolia (Klatt) Benth. & Hook. f., by J. Lovo 2015					I 434	1860-12																	South and Central America, Caribbean & Antarctica; Brazil; Minas Gerais	South and Central America, Caribbean & Antarctica				Brazil	BR	Minas Gerais			Prov. Minas Geraes. Caldas.	Prov. Minas Geraes. Caldas.																																																																	Trimezia juncifolia (Klatt) Benth. & Hook. f.							Plantae;Magnoliophyta;Asparagales;Iridaceae;Trimezia	Plantae	Magnoliophyta		Asparagales	Iridaceae	Trimezia		juncifolia				(Klatt) Benth. & Hook. f.							
1096897348																										S:VascularPlants:S15-24218													2018-04-16T17:16:19+02:00															PhysicalObject		urn:lsid:biocol.org:col:15668			S	VascularPlants			preservedspecimen				S:VascularPlants:S15-24218	S15-24218	III 1219	R [A. F. Regnell]										Internationella herbariet													Trimezia lutea (Klatt) R. C. Foster, by J. Lovo 2015					III 1219	1846-02-01																	South and Central America, Caribbean & Antarctica; Brazil; Minas Gerais	South and Central America, Caribbean & Antarctica				Brazil	BR	Minas Gerais			Prov. Minas Geraes. Caldas.	Prov. Minas Geraes. Caldas.																																																																	Trimezia lutea (Klatt) R. C. Foster							Plantae;Magnoliophyta;Asparagales;Iridaceae;Trimezia	Plantae	Magnoliophyta		Asparagales	Iridaceae	Trimezia		lutea				(Klatt) R. C. Foster							
1096897345																										S:VascularPlants:S15-24213													2018-04-16T17:16:19+02:00															PhysicalObject		urn:lsid:biocol.org:col:15668			S	VascularPlants			preservedspecimen				S:VascularPlants:S15-24213	S15-24213	III 1219	R [A. F. Regnell]										Internationella herbariet													Trimezia lutea (Klatt) R. C. Foster, by J. Lovo 2015					III 1219	1868-03-04																	South and Central America, Caribbean & Antarctica; Brazil; Minas Gerais	South and Central America, Caribbean & Antarctica				Brazil	BR	Minas Gerais			Prov. Minas Geraes. Caldas.	Prov. Minas Geraes. Caldas.																																																																	Trimezia lutea (Klatt) R. C. Foster							Plantae;Magnoliophyta;Asparagales;Iridaceae;Trimezia	Plantae	Magnoliophyta		Asparagales	Iridaceae	Trimezia		lutea				(Klatt) R. C. Foster							
1096897343																										S:VascularPlants:S15-24215													2018-04-16T17:16:19+02:00															PhysicalObject		urn:lsid:biocol.org:col:15668			S	VascularPlants			preservedspecimen				S:VascularPlants:S15-24215	S15-24215	III 1219	R [A. F. Regnell]										Internationella herbariet													Trimezia lutea (Klatt) R. C. Foster, by J. Lovo 2015					III 1219	1870-02-23																	South and Central America, Caribbean & Antarctica; Brazil; Minas Gerais	South and Central America, Caribbean & Antarctica				Brazil	BR	Minas Gerais			Prov. Minas Geraes. Caldas. Rio Purdo.	Prov. Minas Geraes. Caldas. Rio Purdo.																																																																	Trimezia lutea (Klatt) R. C. Foster							Plantae;Magnoliophyta;Asparagales;Iridaceae;Trimezia	Plantae	Magnoliophyta		Asparagales	Iridaceae	Trimezia		lutea				(Klatt) R. C. Foster							
1096897342																										S:VascularPlants:S15-24217													2018-04-16T17:16:19+02:00															PhysicalObject		urn:lsid:biocol.org:col:15668			S	VascularPlants			preservedspecimen				S:VascularPlants:S15-24217	S15-24217	III 1219	R [A. F. Regnell]										Internationella herbariet													Trimezia lutea (Klatt) R. C. Foster, by J. Lovo 2015					III 1219	1863/1864																	South and Central America, Caribbean & Antarctica; Brazil; Minas Gerais	South and Central America, Caribbean & Antarctica				Brazil	BR	Minas Gerais			Prov. Minas Geraes. Caldas.	Prov. Minas Geraes. Caldas.																																																																	Trimezia lutea (Klatt) R. C. Foster							Plantae;Magnoliophyta;Asparagales;Iridaceae;Trimezia	Plantae	Magnoliophyta		Asparagales	Iridaceae	Trimezia		lutea				(Klatt) R. C. Foster							
1096897341																										S:VascularPlants:S15-24220													2018-04-16T17:16:19+02:00															PhysicalObject		urn:lsid:biocol.org:col:15668			S	VascularPlants			preservedspecimen				S:VascularPlants:S15-24220	S15-24220	s.n.	Widgren										Internationella herbariet													Marica; Trimezia lutea (Klatt) R. C. Foster, by J. Lovo 2015					s.n.																		South and Central America, Caribbean & Antarctica; Brazil; Minas Gerais	South and Central America, Caribbean & Antarctica				Brazil	BR	Minas Gerais			Minas-Geraës, Brasiliae.	Minas-Geraës, Brasiliae.																																																																	Trimezia lutea (Klatt) R. C. Foster							Plantae;Magnoliophyta;Asparagales;Iridaceae;Trimezia	Plantae	Magnoliophyta		Asparagales	Iridaceae	Trimezia		lutea				(Klatt) R. C. Foster							
1096897340																										S:VascularPlants:S15-24221													2018-04-16T17:16:19+02:00															PhysicalObject		urn:lsid:biocol.org:col:15668			S	VascularPlants			preservedspecimen				S:VascularPlants:S15-24221	S15-24221	s.n.	Widgren										Internationella herbariet													Marica [crossed out]; Cipura paludosa Aubl. Klatt [crossed out]; Trimezia lutea (Klatt) R. C. Foster, by J. Lovo 2015					s.n.	1845																	South and Central America, Caribbean & Antarctica; Brazil; Minas Gerais	South and Central America, Caribbean & Antarctica				Brazil	BR	Minas Gerais			Brasilien: Minas Geraës.	Brasilien: Minas Geraës.																																																																	Trimezia lutea (Klatt) R. C. Foster							Plantae;Magnoliophyta;Asparagales;Iridaceae;Trimezia	Plantae	Magnoliophyta		Asparagales	Iridaceae	Trimezia		lutea				(Klatt) R. C. Foster							
