"grid_size","median","mean"
0.1,0.5,0.425362020630118
0.2,0.545454545454545,0.471912216257013
0.3,0.6,0.500476784735915
0.4,0.648148148148148,0.551798660382905
0.5,0.65,0.555003404798975
0.6,0.649122807017544,0.592406760978018
0.7,0.636363636363636,0.561617944492574
0.8,0.7,0.615323586945721
0.9,0.685185185185185,0.596852973570704
1,0.685185185185185,0.62327069305233
1.1,0.734375,0.686576951481995
1.2,0.714285714285714,0.644795035715603
1.3,0.75,0.681886680925359
1.4,0.714285714285714,0.655816154682671
1.5,0.771951219512195,0.661457069911299
1.6,0.736842105263158,0.628506207516956
1.7,0.836368843069874,0.762852913447255
1.8,0.792207792207792,0.713742223378984
1.9,0.690909090909091,0.691144403440754
2,0.815151515151515,0.752256461084445
2.1,0.802816901408451,0.764141879233975
2.2,0.833333333333333,0.758846817135239
2.3,0.843283582089552,0.76319056340332
2.4,0.752475247524752,0.768428883451623
2.5,0.833333333333333,0.764460852039457
2.6,0.892638036809816,0.802110125004567
2.7,0.804347826086957,0.750213131962192
2.8,0.823077867845738,0.728015866717161
2.9,0.814007617435463,0.739760408456991
3,0.830232558139535,0.760456968386293
3.1,0.89878092721595,0.830954945374593
3.2,0.843575418994413,0.701577397627909
3.3,0.880434782608696,0.814331046702993
3.4,0.914105524296293,0.829731450886982
3.5,0.937956204379562,0.854197890607411
3.6,0.938869665513264,0.810045341923732
3.7,0.937606766958726,0.914262648773769
3.8,0.910558510638298,0.835345461462372
3.9,0.880447139067829,0.818514284863636
4,0.888709357652657,0.86934672392407
4.1,0.933647160919888,0.91326748343985
4.2,0.873170731707317,0.874200842205088
4.3,0.783333333333333,0.76597738839224
4.4,0.833333333333333,0.827584550290458
4.5,0.853982300884956,0.832972486354756
4.6,0.931592039800995,0.886193454848011
4.7,0.937956204379562,0.88163418228497
4.8,0.938628158844765,0.847574403657952
4.9,0.938628158844765,0.82209954103386
5,0.944801714898178,0.943990981846552
