"grid_size","median","mean"
0.1,0.5,0.426681877749393
0.2,0.5,0.470925517429735
0.3,0.6,0.533814353887479
0.4,0.60952380952381,0.5426030580236
0.5,0.636363636363636,0.567918496107575
0.6,0.666666666666667,0.562468824496848
0.7,0.666666666666667,0.574797464432649
0.8,0.75,0.684246226731722
0.9,0.666666666666667,0.60538623939039
1,0.766363636363636,0.660007258088003
1.1,0.75,0.685827742925013
1.2,0.75,0.641652460709211
1.3,0.782608695652174,0.708975722767103
1.4,0.77658371040724,0.677938715630286
1.5,0.777855805243446,0.691902360276317
1.6,0.826086956521739,0.772965884137306
1.7,0.815340909090909,0.741992171373838
1.8,0.724598930481283,0.704132038060581
1.9,0.791666666666667,0.756778599942125
2,0.75,0.642086434647779
2.1,0.788461538461538,0.72396648692041
2.2,0.824561403508772,0.799761280636356
2.3,0.839285714285714,0.756217667023037
2.4,0.805607769423559,0.7250824207418
2.5,0.90343382692376,0.848695347570878
2.6,0.885635528330781,0.734405237959245
2.7,0.797489823609227,0.757629676829636
2.8,0.817010692010692,0.760808416263293
2.9,0.806392931392931,0.775930437854349
3,0.795833333333333,0.667758572197128
3.1,0.902255639097744,0.850098911240614
3.2,0.87756052141527,0.793760049053004
3.3,0.807980814812749,0.756052992344534
3.4,0.906966539391042,0.809449318376817
3.5,0.90740548265558,0.759260659488278
3.6,0.896,0.810425751094195
3.7,0.921787709497207,0.838640688498744
3.8,0.888741112077344,0.819507567127348
3.9,0.855203619909502,0.778273813219938
4,0.878341516639389,0.770840446203279
4.1,0.878692333222702,0.843947310238647
4.2,0.909722222222222,0.857093454526292
4.3,0.854166666666667,0.745691315181237
4.4,0.883825665859564,0.829275805520913
4.5,0.831775700934579,0.798809774098645
4.6,0.927884615384615,0.839058559813102
4.7,0.827586206896552,0.831848856448467
4.8,0.880803262086243,0.822355093986556
4.9,0.903329439252336,0.829602761778006
5,0.92831541218638,0.898398723905133
