taxa,suggested,corrected,obs
Mimosa hypoglauca hypoglauca,Mimosa hypoglauca var. hypoglauca,Mimosa hypoglauca var. hypoglauca,
Mimosa hypoglauca,Mimosa hypoglauca,Mimosa hypoglauca,
Mimosa hypoglauca syncollandra,Mimosa hypoglauca var. syncollandra,Mimosa hypoglauca var. syncollandra,
Mimosa imbricata multijuga,Mimosa imbricata var. multijuga,Mimosa imbricata var. multijuga,
Mimosa imbricata,Mimosa imbricata,Mimosa imbricata,
Mimosa inamoena,Mimosa inamoena,Mimosa inamoena,
Mimosa incana incana,NA,Mimosa incana incana,synonym of Mimosa pilulifera
Mimosa incana,Mimosa incana,Mimosa incana,synonym of Mimosa pilulifera
Mimosa indecora,NA,,Barneby?; check this further
Mimosa insidiosa insidiosa,Mimosa insidiosa var. insidiosa,Mimosa insidiosa var. insidiosa,
Mimosa insidiosa major,Mimosa insidiosa var. major,Mimosa insidiosa var. major,
Mimosa insidiosa,Mimosa insidiosa,Mimosa insidiosa,
Mimosa insigne,Mimosa insignis,Mimosa insignis,
Mimosa insignis,Mimosa insignis,Mimosa insignis,
Mimosa interrupta,Mimosa interrupta,Mimosa interrupta,
Mimosa intricata,Mimosa intricata,Mimosa intricata,
Mimosa invisa invisa,Mimosa invisa var. invisa,Mimosa invisa var. invisa,
Mimosa invisa macrostachya,Mimosa invisa var. macrostachya,Mimosa invisa var. macrostachya,
Mimosa invisa,Mimosa invisa,Mimosa invisa,
Mimosa involucrata,Mimosa involucrata,Mimosa involucrata,
Mimosa iperoensis,Mimosa iperoensis,Mimosa iperoensis,
Mimosa irrigua,Mimosa irrigua,Mimosa irrigua,
Mimosa irwinii,Mimosa irwinii,Mimosa irwinii,
Mimosa itatiaiensis,Mimosa itatiaiensis,Mimosa itatiaiensis,
Mimosa kalunga,Mimosa kalunga,Mimosa kalunga,
Mimosa kermesina,Mimosa farnesiana,Mimosa kermesina,incorrect suggestion; accepted name
Mimosa kuhlmannii,Mimosa kuhlmannii,Mimosa kuhlmannii,
Mimosa kuhnisteroides,Mimosa kuhnisteroides,Mimosa kuhnisteroides,
Mimosa laevigata,Mimosa laevigata,Mimosa laevigata,
Mimosa lanata,Mimosa lanata,Mimosa lanata,
Mimosa laniceps,Mimosa laniceps,Mimosa laniceps,
Mimosa lanuginosa lanuginosa,Mimosa lanuginosa var. lanuginosa,Mimosa lanuginosa var. lanuginosa,
Mimosa lanuginosa,Mimosa lanuginosa,Mimosa lanuginosa,
Mimosa lanuginosa raduliformis,Mimosa lanuginosa var. raduliformis,Mimosa lanuginosa var. raduliformis,
Mimosa lasiocarpa,Mimosa lasiocarpa,Mimosa lasiocarpa,
Mimosa laticifera,Mimosa laticifera,Mimosa laticifera,
Mimosa leiocarpa,Mimosa lasiocarpa,Mimosa leiocarpa,incorrect suggestion; accepted name
Mimosa leiocephala,Mimosa leiocephala,Mimosa leiocephala,
Mimosa lepidophora,Mimosa lepidophora,Mimosa lepidophora,
Mimosa lepidorepens,Mimosa lepidorepens,Mimosa lepidorepens,
Mimosa leprosa leprosa,Mimosa leprosa var. leprosa,Mimosa leprosa var. leprosa,
Mimosa leprosa,Mimosa leprosa,Mimosa leprosa,
Mimosa leprosa parviceps,Mimosa leprosa var. parviceps,Mimosa leprosa var. parviceps,
Mimosa leprosa var. parviceps,Mimosa leprosa var. parviceps,Mimosa leprosa var. parviceps,
Mimosa leptantha,Mimosa leptantha,Mimosa leptantha,
Mimosa leptocarpa,Mimosa eriocarpa,Mimosa leptocarpa,incorrect suggestion; accepted name
Mimosa leptorhachis,Mimosa leptorachis,Mimosa leptorachis,
Mimosa lewisii barneby,NA,Mimosa lewisii,
Mimosa lewisii,Mimosa lewisii,Mimosa lewisii,
Mimosa lithoreas,Mimosa lithoreas,Mimosa lithoreas,
Mimosa longepedunculata,Mimosa longepedunculata,Mimosa longepedunculata,
Mimosa longipes,Mimosa longipes,Mimosa longipes,
Mimosa lupinoides,Mimosa lupinoides,Mimosa lupinoides,
Mimosa lupulina,Mimosa lupulina,Mimosa lupulina,
Mimosa macedoana glabrescens,Mimosa macedoana var. glabrescens,Mimosa macedoana var. glabrescens,
Mimosa macedoana macedoana,Mimosa macedoana var. macedoana,Mimosa macedoana var. macedoana,
Mimosa macedoana,Mimosa macedoana,Mimosa macedoana,
Mimosa macrocephala,Mimosa macrocephala,Mimosa macrocephala,
Mimosa macropogon,Mimosa macropogon,Mimosa macropogon,
Mimosa maguirei,Mimosa maguirei,Mimosa maguirei,
Mimosa manidea,Mimosa manidea,Mimosa manidea,
Mimosa maracayuensis,Mimosa maracayuensis,Mimosa maracayuensis,
Mimosa medioxima,Mimosa medioxima,Mimosa medioxima,
Mimosa melanocarpa,Mimosa melanocarpa,Mimosa melanocarpa,
Mimosa melonocarpa,Mimosa melanocarpa,Mimosa melanocarpa,
Mimosa mensicola,Mimosa mensicola,Mimosa mensicola,
Mimosa meticulosa,Mimosa meticulosa,Mimosa meticulosa,
Mimosa microcarpa,Mimosa microcarpa,Mimosa microcarpa,
Mimosa microcephala cataractae,Mimosa microcephala var. cataractae,Mimosa microcephala var. cataractae,
Mimosa microcephala communis,Mimosa microcephala var. communis,Mimosa microcephala var. communis,
Mimosa microcephala lumaria,Mimosa microcephala var. lumaria,Mimosa microcephala var. lumaria,
Mimosa microcephala,Mimosa microcephala,Mimosa microcephala,
Mimosa micropteris,Mimosa micropteris,Mimosa micropteris,
Mimosa micropteris pungens,Mimosa micropteris var. pungens,Mimosa micropteris var. pungens,
Mimosa minarum,Mimosa minarum,Mimosa minarum,
Mimosa minima,Mimosa minima,Mimosa minima,
Mimosa minorum,Mimosa minarum,Mimosa minarum,
Mimosa miranda,Mimosa miranda,Mimosa miranda,
Mimosa misera misera,Mimosa misera var. misera,Mimosa misera var. misera,
Mimosa misera,Mimosa misera,Mimosa misera,
Mimosa misera subinermis,Mimosa misera var. subinermis,Mimosa misera var. subinermis,
Mimosa modesta modesta,Mimosa modesta var. modesta,Mimosa modesta var. modesta,
Mimosa modesta,Mimosa modesta,Mimosa modesta,
Mimosa modesta ursinoides,Mimosa modesta var. ursinoides,Mimosa modesta var. ursinoides,
Mimosa mogolensis,Mimosa mogolensis,Mimosa mogolensis,
Mimosa mollis,Memora mollis,Memora mollis,
Mimosa monticola monticola,Mimosa monticola var. monticola,Mimosa monticola var. monticola,
Mimosa monticola,Mimosa monticola,Mimosa monticola,
Mimosa monticola schwackeana,Mimosa monticola var. schwackeana,Mimosa monticola var. schwackeana,
Mimosa montis-carasae,Mimosa montis-carasae,Mimosa montis-carasae,
Mimosa morroensis,Mimosa morroensis,Mimosa morroensis,
Mimosa multiceps,Mimosa multiceps,Mimosa multiceps,
Mimosa multiplex,Mimosa multiplex,Mimosa multiplex,
Mimosa murex,Mimosa murex,Mimosa murex,
Mimosa myrioglandulosa,Mimosa myrioglandulosa,Mimosa myrioglandulosa,
Mimosa myriophylla,Mimosa myriophylla,Mimosa myriophylla,
Mimosa myuros,Mimosa myuros,Mimosa myuros,
Mimosa neonitens,Mimosa neonitens,Mimosa neonitens,
Mimosa nervosa,Mimosa nervosa,Mimosa nervosa,
Mimosa niederleinii,Mimosa niederleinii,Mimosa niederleinii,
Mimosa nigra,Mimosa nigra,Mimosa nigra,
Mimosa nitens,Mimosa nitens,Mimosa nitens,
Mimosa nothopteris,Mimosa nothopteris,Mimosa nothopteris,
Mimosa nuda angusta,Mimosa nuda var. angusta,Mimosa nuda var. angusta,
Mimosa nuda glaberrima,Mimosa nuda var. glaberrima,Mimosa nuda var. glaberrima,
Mimosa nuda gracilipes,Mimosa nuda var. gracilipes,Mimosa nuda var. gracilipes,
Mimosa nuda,Mimosa nuda,Mimosa nuda,
Mimosa nuda nuda,Mimosa nuda var. nuda,Mimosa nuda var. nuda,
Mimosa nuda ramosa,Mimosa nuda var. ramosa,Mimosa nuda var. ramosa,
Mimosa nycteridis,Mimosa nycteridis,Mimosa nycteridis,
Mimosa oblonga,Mimosa oblonga,Mimosa oblonga,
Mimosa oblonga oblonga,Mimosa oblonga var. oblonga,Mimosa oblonga var. oblonga,
Mimosa obovata,Mimosa obovata,Mimosa obovata,
Mimosa obstrigosa,Mimosa obstrigosa,Mimosa obstrigosa,
Mimosa oedoclada,Mimosa oedoclada,Mimosa oedoclada,
Mimosa oligosperma,Mimosa oligosperma,Mimosa oligosperma,
Mimosa ophtalmocentra,Mimosa ophthalmocentra,Mimosa ophthalmocentra,
Mimosa ophthalmocentra,Mimosa ophthalmocentra,Mimosa ophthalmocentra,
Mimosa orbignyana,Mimosa urbaniana,Mimosa urbaniana,
Mimosa orthacantha,Mimosa orthacantha,Mimosa orthacantha,
Mimosa orthocarpa,Mimosa orthocarpa,Mimosa orthocarpa,
Mimosa osmarii,Mimosa hostmanni,Mimosa hostmanni,
Mimosa ourobranco��nsis,Mimosa ourobrancoensis,Mimosa ourobrancoensis,
Mimosa ourobrancoensis,Mimosa ourobrancoensis,Mimosa ourobrancoensis,
Mimosa pabstiana,Mimosa pabstiana,Mimosa pabstiana,
Mimosa pachycarpoides,Mimosa pachycarpoides,Mimosa pachycarpoides,
Mimosa palmetorum,Mimosa palmetorum,Mimosa palmetorum,
Mimosa paludosa metadenotricha,NA,Mimosa paludosa,Borges et al. (2017); check this further
Mimosa paludosa,Mimosa paludosa,Mimosa paludosa,
Mimosa paludosa paludosa,NA,Mimosa paludosa,Borges et al. (2017); check this further
Mimosa paludosa var. metadenotricha,Mimosa setosa var. metadenotricha,Mimosa paludosa,Borges et al. (2017); check this further
Mimosa papposa,Mimosa papposa,Mimosa papposa,
Mimosa papposa segrex,Mimosa papposa var. segrex,Mimosa papposa var. segrex,
Mimosa papposa var. segrex,Mimosa papposa var. segrex,Mimosa papposa var. segrex,
Mimosa paraguariae,Mimosa paraguariae,Mimosa paraguariae,
Mimosa paraibana,Mimosa paraibana,Mimosa paraibana,
Mimosa paraizensis,Mimosa paraizensis,Mimosa paraizensis,
Mimosa paranapiacabae,Mimosa paranapiacabae,Mimosa paranapiacabae,
Mimosa parviceps,Mimosa parviceps,Mimosa parviceps,
Mimosa parvipinna,Mimosa parvipinna,Mimosa parvipinna,
Mimosa paucifolia,Mimosa paucifolia,Mimosa paucifolia,
Mimosa paucifolia paucifolia,Mimosa paucifolia var. paucifolia,Mimosa paucifolia var. paucifolia,
Mimosa paucifolia scoparia,Mimosa paucifolia var. scoparia,Mimosa paucifolia var. scoparia,
Mimosa paucifolia var. scoparia,Mimosa paucifolia var. scoparia,Mimosa paucifolia var. scoparia,
Mimosa paupera,Mimosa paupera,Mimosa paupera,
Mimosa paupera paupera,Mimosa paupera var. paupera,Mimosa paupera var. paupera,
Mimosa pedersenii,Mimosa pedersenii,Mimosa pedersenii,
Mimosa peduncularis,Mimosa peduncularis,Mimosa peduncularis,
Mimosa pellita dehiscens,Mimosa pellita var. dehiscens,Mimosa pellita var. dehiscens,
Mimosa pellita,Mimosa pellita,Mimosa pellita,
Mimosa pellita pellita,Mimosa pellita var. pellita,Mimosa pellita var. pellita,
Mimosa per-dusenii,Mimosa per-dusenii,Mimosa per-dusenii,
Mimosa perplicata,Mimosa perplicata,Mimosa perplicata,
Mimosa petiolaris,Mimosa petiolaris,Mimosa petiolaris,
Mimosa phyllodinea,Mimosa phyllodinea,Mimosa phyllodinea,
Mimosa phyllodinea phyllodinea,Mimosa phyllodinea var. phyllodinea,Mimosa phyllodinea var. phyllodinea,
Mimosa phyllodinea phyllorrhoea,Mimosa phyllodinea var. phyllorrhoea,Mimosa phyllodinea var. phyllorrhoea,
Mimosa phyllodinea var. phyllorrhoea,Mimosa phyllodinea var. phyllorrhoea,Mimosa phyllodinea var. phyllorrhoea,
Mimosa phylodinea phylodinea,Mimosa phyllodinea var. phyllodinea,Mimosa phyllodinea var. phyllodinea,
Mimosa pigra dehiscens,Mimosa pigra var. dehiscens,Mimosa pigra var. dehiscens,
Mimosa pigra hispida,NA,,no reference for this name; check this further
Mimosa pigra,Mimosa pigra,Mimosa pigra,
Mimosa pigra pigra,Mimosa pigra var. pigra,Mimosa pigra var. pigra,
Mimosa pilulifera,Mimosa pilulifera,Mimosa pilulifera,
Mimosa pilulifera pseudincana,Mimosa pilulifera var. pseudincana,Mimosa pilulifera var. pseudincana,
Mimosa pingra,Mimosa pigra,Mimosa pigra,
Mimosa pinnata,Mimosa lanata,,unresolved name; Tropicos: Mimosa discolor
Mimosa piptoptera,Mimosa piptoptera,Mimosa piptoptera,
Mimosa piresii,Mimosa piresii,Mimosa piresii,
Mimosa piscatorum,Mimosa piscatorum,Mimosa piscatorum,
Mimosa pithecellobioides,Mimosa pithecolobioides,Mimosa pithecolobioides,
Mimosa pithecolobioides,Mimosa pithecolobioides,Mimosa pithecolobioides,
Mimosa plena,Mimosa pyrenea,Neptunia plena,synonym of Neptunia plena
Mimosa poculata,Mimosa poculata,Mimosa poculata,
Mimosa pogocephala,Mimosa pogocephala,Mimosa pogocephala,
Mimosa pogonoclada,Mimosa pogonoclada,Mimosa pogonoclada,
Mimosa polycarpa,Mimosa polycarpa,Mimosa polycarpa,
Mimosa polycarpa spegazinii,Mimosa polycarpa var. spegazzinii,Mimosa polycarpa var. spegazzinii,
Mimosa polycarpa spegazzini,Mimosa polycarpa var. spegazzinii,Mimosa polycarpa var. spegazzinii,
Mimosa polycarpa spegazzinii,Mimosa polycarpa var. spegazzinii,Mimosa polycarpa var. spegazzinii,
Mimosa polycarpa subglabrata,Mimosa polycarpa var. subglabrata,Mimosa polycarpa var. subglabrata,
Mimosa polycephala latifolia,Mimosa polycephala var. taxifolia,,no reference for this name; check this further
Mimosa polycephala,Mimosa polycephala,,
Mimosa polycephala polycephala,Mimosa polycephala var. polycephala,Mimosa polycephala var. polycephala,
Mimosa polycephala taxifolia,Mimosa polycephala var. taxifolia,Mimosa polycephala var. taxifolia,
Mimosa polydactyla,Mimosa polydactyla,Mimosa polydactyla,
Mimosa polydidyma,Mimosa polydidyma,Mimosa polydidyma,
Mimosa pratincola,Mimosa pratincola,Mimosa pratincola,
Mimosa procurrens,Mimosa procurrens,Mimosa procurrens,
Mimosa prorepens,Mimosa prorepens,Mimosa prorepens,
Mimosa pseudincana,NA,Mimosa pseudincana,accepted name 
Mimosa pseudocallosa,Mimosa pseudocallosa,Mimosa pseudocallosa,
Mimosa pseudofoliolosa,Mimosa pseudofoliolosa,Mimosa pseudofoliolosa,
Mimosa pseudofoliosa,Mimosa pseudofoliolosa,Mimosa pseudofoliolosa,
Mimosa pseudoradula anapolitana,Mimosa pseudoradula var. anapolitana,Mimosa pseudoradula var. anapolitana,
Mimosa pseudoradula crystallites,Mimosa pseudoradula var. crystallites,Mimosa pseudoradula var. crystallites,
Mimosa pseudoradula detonsa,Mimosa pseudoradula var. detonsa,Mimosa pseudoradula var. detonsa,
Mimosa pseudo-radula,Mimosa pseudoradula,Mimosa pseudoradula,
Mimosa pseudoradula,Mimosa pseudoradula,Mimosa pseudoradula,
Mimosa pseudoradula pseudoradula,Mimosa pseudoradula var. pseudoradula,Mimosa pseudoradula var. pseudoradula,
Mimosa pseudoradula var. crystallites,Mimosa pseudoradula var. crystallites,Mimosa pseudoradula var. crystallites,
Mimosa pseudosepiaria,Mimosa pseudosepiaria,Mimosa pseudosepiaria,
Mimosa pseudotrachycarpa,Mimosa pseudotrachycarpa,Mimosa pseudotrachycarpa,
Mimosa psittacina,Mimosa psittacina,Mimosa psittacina,
Mimosa pteridifolia,Mimosa pteridifolia,Mimosa pteridifolia,
Mimosa pteridifolia paucipinnata,Mimosa pteridifolia var. paucipinnata,Mimosa pteridifolia var. paucipinnata,
Mimosa pudica hispida,Mimosa pudica var. hispida,Mimosa pudica var. hispida,
Mimosa pudica,Mimosa pudica,Mimosa pudica,
Mimosa pudica tetrandra,Mimosa pudica var. tetrandra,Mimosa pudica var. tetrandra,
Mimosa pudica unijuga,Mimosa pudica var. unijuga,Mimosa pudica var. unijuga,
Mimosa pumilio,Mimosa pumilio,Mimosa pumilio,
Mimosa pusilliceps,Mimosa pusilliceps,Mimosa pusilliceps,
Mimosa pycnocoma,Mimosa pycnocoma,Mimosa pycnocoma,
Mimosa pyrenea,Mimosa pyrenea,Mimosa pyrenea,
Mimosa quadrangularis,NA,Zapoteca tetragona,synonym of Zapoteca tetragona
Mimosa quadrivalves,Mimosa quadrivalvis,Mimosa quadrivalvis,
Mimosa quadrivalvis leptocarpa,Mimosa quadrivalvis var. leptocarpa,Mimosa quadrivalvis var. leptocarpa,
Mimosa quadrivalvis,Mimosa quadrivalvis,Mimosa quadrivalvis,
Mimosa quadrivalvis var. leptocarpa,Mimosa quadrivalvis var. leptocarpa,Mimosa quadrivalvis var. leptocarpa,
Mimosa quadrvalvis l. var. leptocarpa (dc.) barneby,NA,Mimosa quadrivalvis var. leptocarpa,
Mimosa radula calycina,Mimosa radula var. calycina,Mimosa radula var. calycina,
Mimosa radula imbricata,Mimosa radula var. imbricata,Mimosa radula var. imbricata,
Mimosa radula,Mimosa radula,Mimosa radula,
Mimosa radula radula,Mimosa radula var. radula,Mimosa radula var. radula,
Mimosa radula radulina,Mimosa radula var. radulina,Mimosa radula var. radulina,
Mimosa radula semitonsa,Mimosa radula var. semitonsa,Mimosa radula var. semitonsa,
Mimosa radula var. radulina,Mimosa radula var. radulina,Mimosa radula var. radulina,
Mimosa radula var. semitonsa,Mimosa radula var. semitonsa,Mimosa radula var. semitonsa,
Mimosa ramentacea,Mimosa ramentacea,Mimosa ramentacea,
Mimosa ramosissima,Mimosa ramosissima,Mimosa ramosissima,
Mimosa ramulosa,Mimosa ramulosa,Mimosa ramulosa,
Mimosa rava,Mimosa rava,Mimosa rava,
Mimosa reduviosa,Mimosa reduviosa,Mimosa reduviosa,
Mimosa regina,Mimosa regina,Mimosa regina,
Mimosa regnellii exuta,Mimosa regnellii var. exuta,Mimosa regnellii var. exuta,
Mimosa regnellii grossiseta,Mimosa regnellii var. grossiseta,Mimosa regnellii var. grossiseta,
Mimosa regnellii,Mimosa regnellii,Mimosa regnellii,
Mimosa regnellii supersetosa,Mimosa regnellii var. supersetosa,Mimosa regnellii var. supersetosa,
Mimosa rheiptera kaliniae,NA,,no reference for this name; check this further
Mimosa rheiptera,Mimosa rheiptera,Mimosa rheiptera,
Mimosa rheiptera var. kaliniae,NA,,no reference for this name; check this further
Mimosa rhodostachya,Mimosa rhodostachya,Mimosa rhodostachya,
Mimosa rhodostegia,Mimosa rhodostegia,Mimosa rhodostegia,
Mimosa riedelii,Mimosa riedelii,Mimosa riedelii,
Mimosa rigida,Mimosa rigida,Mimosa rigida,
Mimosa rixosa,Mimosa rixosa,Mimosa rixosa,
Mimosa rocae,Mimosa rava,Mimosa rocae,incorrect suggestion; accepted name
Mimosa rufescens rufescens,Mimosa rufescens var. rufescens,Mimosa rufescens var. rufescens,
Mimosa rufipila,Mimosa rufipila,Mimosa rufipila,
Mimosa rupestris,Mimosa rupestris,Mimosa rupestris,
Mimosa rupigena,Mimosa rupigena,Mimosa rupigena,
Mimosa sanguinolenta,Mimosa sanguinolenta,Mimosa sanguinolenta,
Mimosa scaberrima,Mimosa scaberrima,Mimosa scaberrima,
Mimosa scabrella,Mimosa scabrella,Mimosa scabrella,
Mimosa schleidenii,Mimosa schleidenii,Mimosa schleidenii,
Mimosa schomburgkii,Mimosa schomburgkii,Mimosa schomburgkii,
Mimosa schrankioides,Mimosa schrankioides,Mimosa schrankioides,
Mimosa sebosa,Mimosa setosa,Mimosa setosa,
Mimosa selloi,Mimosa selloi,Mimosa selloi,
Mimosa sensibilis,Mimosa sensibilis,Mimosa sensibilis,
Mimosa sensibilis urucumensis,Mimosa sensibilis var. urucumensis,Mimosa sensibilis var. urucumensis,
Mimosa sensitiva malitiosa,Mimosa sensitiva var. malitiosa,Mimosa sensitiva var. malitiosa,
Mimosa sensitiva,Mimosa sensitiva,Mimosa sensitiva,
Mimosa sensitiva sensitiva,Mimosa sensitiva var. sensitiva,Mimosa sensitiva var. sensitiva,
Mimosa sensitiva var. malitiosa,Mimosa sensitiva var. malitiosa,Mimosa sensitiva var. malitiosa,
Mimosa sericantha,Mimosa sericantha,Mimosa sericantha,
Mimosa serpensetosa,Mimosa serpensetosa,Mimosa serpensetosa,
Mimosa serra,Mimosa serra,Mimosa serra,
Mimosa setifera,Mimosa setifera,Mimosa setifera,
Mimosa setistipula,Mimosa setistipula,Mimosa setistipula,
Mimosa setosa granitica,Mimosa setosa subsp. granitica,Mimosa setosa subsp. granitica,
Mimosa setosa metadenotricha,Mimosa setosa var. metadenotricha,Mimosa setosa var. metadenotricha,
Mimosa setosa,Mimosa setosa,Mimosa setosa,
Mimosa setosa nitens,Mimosa setosa var. nitens,Mimosa setosa var. nitens,
Mimosa setosa paludosa,Mimosa setosa var. paludosa,Mimosa paludosa,Borges et al. (2017)
Mimosa setosa pseudomelas,Mimosa setosa var. pseudomelas,Mimosa setosa var. pseudomelas,
Mimosa setosa rupigena,Mimosa setosa var. rupigena,Mimosa setosa var. rupigena,
Mimosa setosa setosa,Mimosa setosa var. setosa,Mimosa setosa var. setosa,
Mimosa setosa ssp. urbica,Mimosa setosa var. urbica,Mimosa setosa var. urbica,
Mimosa setosa urbana,Mimosa setosa var. urbana,Mimosa setosa var. urbana,
Mimosa setosa urbica,Mimosa setosa var. urbica,Mimosa setosa var. urbica,
Mimosa Setosa Var paludosa,Mimosa setosa var. paludosa,Mimosa paludosa,Borges et al. (2017)
Mimosa setosissima,Mimosa setosissima,Mimosa setosissima,
Mimosa setuligera,Mimosa setuligera,Mimosa setuligera,
Mimosa skinneri carajarum,Mimosa skinneri var. carajarum,Mimosa skinneri var. carajarum,
Mimosa skinneri desmodioides,Mimosa skinneri var. desmodioides,Mimosa skinneri var. desmodioides,
Mimosa skinneri,Mimosa skinneri,Mimosa skinneri,
Mimosa somians lasiocarpa,Mimosa somnians var. lasiocarpa,Mimosa somnians var. lasiocarpa,
Mimosa somians leptocaulis,Mimosa somnians var. leptocaulis,Mimosa somnians var. leptocaulis,
Mimosa somians,Mimosa somnians,Mimosa somnians,
Mimosa sommians,Mimosa somnians,Mimosa somnians,
Mimosa somnambulans,Mimosa somnambulans,Mimosa somnambulans,
Mimosa somnians aquatica,Mimosa somnians var. aquatica,Mimosa somnians var. aquatica,
Mimosa somnians lasiocarpa,Mimosa somnians var. lasiocarpa,Mimosa somnians var. lasiocarpa,
Mimosa somnians leptocaulis,Mimosa somnians var. leptocaulis,Mimosa somnians var. leptocaulis,
Mimosa somnians longipes,Mimosa somnians var. longipes,Mimosa somnians var. longipes,
Mimosa somnians lupulina,Mimosa somnians var. lupulina,Mimosa somnians var. lupulina,
Mimosa somnians,Mimosa somnians,Mimosa somnians,
Mimosa somnians possensis,Mimosa somnians var. possensis,Mimosa somnians var. possensis,
Mimosa somnians somnians,Mimosa somnians var. somnians,Mimosa somnians var. somnians,
Mimosa somnians ssp. viscida,Mimosa somnians var. viscida,Mimosa somnians var. viscida,ssp.?
Mimosa somnians velascoã«nsis,Mimosa somnians var. velascoënsis,Mimosa somnians velascoensis,check this later (char. encoding)
Mimosa somnians velascoensis,Mimosa somnians var. velascoënsis,Mimosa somnians velascoensis,check this later (char. encoding)
Mimosa somnians velascoënsis,Mimosa somnians var. velascoënsis,Mimosa somnians velascoensis,check this later (char. encoding)
Mimosa somnians veloseoensis,Mimosa somnians var. possensis,Mimosa somnians velascoensis,incorrect suggestion
Mimosa somnians vestita,NA,Mimosa somnians var. vestita,Barneby (1991)
Mimosa somnians viscida,Mimosa somnians var. viscida,Mimosa somnians var. viscida,
Mimosa somnianus,Mimosa somnians,Mimosa somnians,
Mimosa sordida glabrescens,Mimosa sordida var. glabrescens,Mimosa sordida var. glabrescens,
Mimosa sordida,Mimosa sordida,Mimosa sordida,
Mimosa sparsa,Mimosa sparsa,Mimosa sparsa,
Mimosa sparsiformis,Mimosa sparsiformis,Mimosa sparsiformis,
Mimosa speciosissima,Mimosa speciosissima,Mimosa speciosissima,
Mimosa spixiana,Mimosa spixiana,Mimosa spixiana,
Mimosa splendida,Mimosa splendida,Mimosa splendida,
Mimosa sprengelii,Mimosa regnellii,Mimosa regnellii,
Mimosa staminea,Miconia staminea,Miconia staminea,
Mimosa stipulacea,Mimosa stipularis,Mimosa stipularis,
Mimosa strobiliflora,Mimosa strobiliflora,Mimosa strobiliflora,
Mimosa stylosa,Mimosa stylosa,Mimosa stylosa,
Mimosa subenervis,Mimosa subenervis,Mimosa subenervis,
Mimosa suberosa,Miconia suberosa,Miconia suberosa,
Mimosa subnervia,Mimosa subenervis,Mimosa subenervis,
Mimosa subnervis,Mimosa subenervis,Mimosa subenervis,
Mimosa subsericea,Mimosa subsericea,Mimosa subsericea,
Mimosa suburbana,Mimosa suburbana,Mimosa suburbana,
Mimosa sulphurea,NA,Mimosa sulphurea,"sp. nov. (Savassi-Coutinho, 2009)"
Mimosa supersetosa,Mimosa supersetosa,Mimosa supersetosa,
Mimosa supravisa,Mimosa supravisa,Mimosa supravisa,
Mimosa surumuensis,Mimosa surumuënsis,Mimosa surumuensis,check this later (char. encoding)
Mimosa syncollandra,NA,,no reference for this name; check this further
Mimosa taimbensis,Mimosa taimbensis,Mimosa taimbensis,
Mimosa tarda,Mimosa tarda,Mimosa tarda,
Mimosa taxifolia,Mimosa taxifolia,Mimosa taxifolia,
Mimosa tenuifila,Mimosa tenuifolia,Mimosa tenuifolia,
Mimosa tenuiflora,Mimosa tenuiflora,Mimosa tenuiflora,
Mimosa tenuifolia,Mimosa tenuifolia,Mimosa tenuifolia,
Mimosa thermarum,Mimosa thermarum,Mimosa thermarum,
Mimosa thomista,Mimosa thomista,Mimosa thomista,
Mimosa tocantina,Mimosa tocantina,Mimosa tocantina,
Mimosa tomentosa,Mimosa tomentosa,Mimosa tomentosa,
Mimosa tremula,Mimosa tremula,Mimosa tremula,
Mimosa trichocephala,Mimosa trichocephala,Mimosa trichocephala,
Mimosa trijuga,Mimosa trijuga,Mimosa trijuga,
Mimosa tucumensis,Mimosa tucumensis,Mimosa tucumensis,
Mimosa tweediana,Mimosa alleniana,Mimosa tweedieana,incorrect suggestion
Mimosa tweedieana,NA,Mimosa tweedieana,accepted name
Mimosa ulbrichiana,Mimosa ulbrichiana,Mimosa ulbrichiana,
Mimosa ulei grallator,Mimosa ulei var. grallator,Mimosa ulei var. grallator,
Mimosa ulei,Mimosa ulei,Mimosa ulei,
Mimosa ulei ulei,Mimosa ulei var. ulei,Mimosa ulei var. ulei,
Mimosa uniceps,Mimosa uniceps,Mimosa uniceps,
Mimosa uninervis,Mimosa uninervis,Mimosa uninervis,
Mimosa urandiensis,Mimosa urandiensis,Mimosa urandiensis,
Mimosa urbica,Mimosa ursina,Mimosa urbica,"comb. et stat. nov. (Borges et al., 2017)"
Mimosa urbica urbana,NA,,check this further; Mimosa setosa subsp. urbica var. urbana?
Mimosa ursina,Mimosa ursina,Mimosa ursina,
Mimosa urticaria,Mimosa urticaria,Mimosa urticaria,
Mimosa vellosiana,Mimosa velloziana,Mimosa velloziana,
Mimosa velloziana,Mimosa velloziana,Mimosa velloziana,
Mimosa velloziana velloziana,NA,,
Mimosa venatorum,Mimosa venatorum,Mimosa venatorum,
Mimosa verecunda,Mimosa verecunda,Mimosa verecunda,
Mimosa vernicosa ciliata,NA,Mimosa foliolosa var. vernicosa,Barneby (1991)
Mimosa vernicosa,Mimosa verrucosa,,Barneby (1991)?; check this further
Mimosa verrucosa,Mimosa verrucosa,Mimosa verrucosa,
Mimosa vestita,Mimosa vestita,Mimosa vestita,
Mimosa viperina,Mimosa viperina,Mimosa viperina,
Mimosa virgula,Mimosa virgula,Mimosa virgula,
Mimosa weddeliana,Mimosa weddelliana,Mimosa weddelliana,
